threads,size,mean_duration,mean_io_alocation,ci_duration,ci_io_alocation
1,16,0.0001083,0.0001437,2.929090871470761e-6,5.230748406192839e-6
1,32,0.00038639999999999996,0.0004667,3.4635294522591655e-5,3.6341428089104526e-5
1,64,0.0014986,0.0017871000000000002,0.0002084229590253647,0.00025416337734264987
1,128,0.0058427999999999996,0.006966600000000001,0.0005389946941152988,0.0009298460713138369
1,256,0.0232986,0.0275664,0.0019728313228296467,0.0022034170487938843
1,512,0.0909192,0.10743269999999998,0.0025095659844540665,0.00290356505589173
1,1024,0.36344069999999995,0.43068910000000005,0.007837719755564965,0.009898336383326906
1,2048,1.4484155,1.722204,0.02152500661224837,0.03207304702874493
1,4096,5.757352899999999,6.8281919,0.15229043398039696,0.21658423741439656
1,8192,22.4046551,26.408400500000006,0.020615590834127225,0.025126707009639013
2,16,0.0002291,0.0002874,0.00013996117105984947,0.00017459091100181716
2,32,0.0005889000000000001,0.0007459000000000001,2.505684523904259e-5,3.0059723958220993e-5
2,64,0.0014102,0.0018546999999999997,0.000988159183001965,0.0012968599358347582
2,128,0.0032043999999999996,0.004238799999999999,0.00031664526423112667,0.000424703653773886
2,256,0.011486699999999999,0.015634000000000002,0.0002476883949553461,0.0015104405406517806
2,512,0.044722899999999996,0.0604889,0.000230539569956126,0.00025635063379849353
2,1024,0.17690299999999998,0.24021549999999997,0.0004149710839725318,0.0008912689187893763
2,2048,0.7043934999999999,0.9588598999999999,0.0018046980793966216,0.005964987964773587
2,4096,2.8515031,3.8782801,0.056363689593876394,0.0731892963897558
2,8192,11.223475099999998,15.2490829,0.06721871771760224,0.14721560961008548
4,16,0.0002131,0.00025190000000000005,9.757856495039153e-5,0.00011976314617703657
4,32,0.00032380000000000006,0.00040229999999999997,2.3039612651064907e-5,2.423593695321061e-5
4,64,0.0008502,0.0011113999999999998,3.511993318140952e-5,3.936516316632147e-5
4,128,0.002861,0.0038542,2.487819214582203e-5,2.6015467535893122e-5
4,256,0.0107867,0.0147729,0.0001075048039029984,0.00041387875130552713
4,512,0.042204399999999996,0.05798320000000001,0.00042278814876694245,0.0004443663848872652
4,1024,0.16660080000000002,0.22973899999999997,0.00042941229824546007,0.00039505765272651643
4,2048,0.6623918000000001,0.9152073000000002,0.0011590696055486414,0.003660146873072513
4,4096,2.6427112,3.6459213,0.0033237105204499493,0.005018478949838791
4,8192,10.546871,14.5543096,0.010607989909932895,0.02196577174232267
8,16,0.013639500000000002,0.013676599999999997,0.02351032220124788,0.023517001103184526
8,32,0.0033256999999999996,0.0034051999999999997,0.004387116846730005,0.004388669375574636
8,64,0.002953,0.0032145,0.003255185062361619,0.003251653750556955
8,128,0.005171799999999999,0.006170600000000001,0.003646985295223074,0.003637738198689461
8,256,0.0148544,0.0187737,0.008553358168261166,0.008573909127767669
8,512,0.049226099999999995,0.0653011,0.00950709082222457,0.009130523976113431
8,1024,0.14694559999999995,0.20999860000000004,0.005949153330735761,0.006145790521279491
8,2048,0.5475003,0.8000933,0.008911173574310212,0.009043286555987648
8,4096,2.1381256,3.1415577999999997,0.025248895415147337,0.023895667279361998
8,8192,8.479925099999999,12.4820083,0.08554068597373073,0.08264544159328645
16,16,0.0012342999999999998,0.0013093,0.0017450730359551655,0.0017530298267146257
16,32,0.0010804,0.0012461,0.00017637144460232532,0.00016491057396190352
16,64,0.0015867000000000003,0.0020589,0.0007951880204887954,0.0009796024531433375
16,128,0.0021823,0.0032035,0.00039949936361512373,0.0004080329508480631
16,256,0.006432199999999999,0.010370400000000002,0.0008928864561484474,0.0009106820809237198
16,512,0.024121899999999998,0.0398679,0.004424883124892679,0.004381801554427382
16,1024,0.09388830000000001,0.1569287,0.008838114594536045,0.008689065563242636
16,2048,0.36104349999999996,0.6138672,0.035119712772630825,0.035964338617443664
16,4096,1.4421153000000002,2.4490692,0.03772900283668159,0.04195368439397499
16,8192,5.6949417,9.693619499999999,0.22771025929079172,0.233531859861104
32,16,0.0015366000000000002,0.0015891,0.002233380070531859,0.002256562157497304
32,32,0.0013859,0.0015178000000000001,0.000513005595620338,0.0005694869484564348
32,64,0.0016209000000000002,0.0019562,0.000258084777423578,0.00025538531745841097
32,128,0.0025751,0.0036423000000000002,0.0008264149923239398,0.0010055897531609113
32,256,0.005920199999999999,0.009854000000000002,0.0008671182164798007,0.0008952616916485001
32,512,0.0192925,0.035100599999999996,0.0026158266114642325,0.0027004847470827654
32,1024,0.07253240000000001,0.13548920000000003,0.0074552815199177185,0.007467258052480096
32,2048,0.2770124,0.5309181,0.02318782388640076,0.022438400147980042
32,4096,1.080216,2.084262,0.092268253348282,0.09357736115324951
32,8192,4.223335199999999,8.230596899999998,0.1789504012923078,0.18142044674555324
