size,f,threads,duration,io_alocation
16,2,1,0.000601,0.000639
16,2,1,0.000904,0.000982
16,2,1,0.001373,0.001466
16,2,1,0.001203,0.001272
16,2,1,0.0012,0.001278
16,2,1,0.0012,0.00127
16,2,1,0.001199,0.001264
16,2,1,0.001199,0.001265
16,2,1,0.001215,0.001281
16,2,1,0.001231,0.00129
32,2,1,0.004723,0.004877
32,2,1,0.00468,0.004834
32,2,1,0.003389,0.003541
32,2,1,0.002563,0.002663
32,2,1,0.002338,0.002417
32,2,1,0.002345,0.002427
32,2,1,0.002338,0.002413
32,2,1,0.002324,0.002402
32,2,1,0.002324,0.002402
32,2,1,0.002323,0.002402
64,2,1,0.009179,0.009442
64,2,1,0.009212,0.009478
64,2,1,0.009188,0.009444
64,2,1,0.009205,0.009461
64,2,1,0.009207,0.009468
64,2,1,0.009195,0.00945
64,2,1,0.009184,0.009445
64,2,1,0.009191,0.009448
64,2,1,0.009206,0.009467
64,2,1,0.009191,0.009453
128,2,1,0.036544,0.037531
128,2,1,0.036533,0.037543
128,2,1,0.036546,0.037535
128,2,1,0.036579,0.037555
128,2,1,0.036544,0.037544
128,2,1,0.036542,0.037538
128,2,1,0.036589,0.037578
128,2,1,0.036557,0.03755
128,2,1,0.036531,0.037508
128,2,1,0.036603,0.037595
256,2,1,0.145802,0.149753
256,2,1,0.145888,0.149819
256,2,1,0.145835,0.14976
256,2,1,0.148779,0.152708
256,2,1,0.145893,0.149831
256,2,1,0.145795,0.149722
256,2,1,0.145791,0.149725
256,2,1,0.145867,0.149799
256,2,1,0.145796,0.149717
256,2,1,0.145789,0.149719
512,2,1,0.582157,0.597928
512,2,1,0.582571,0.598291
512,2,1,0.582012,0.59768
512,2,1,0.581982,0.597747
512,2,1,0.582009,0.597706
512,2,1,0.581883,0.597578
512,2,1,0.58201,0.597686
512,2,1,0.582024,0.597739
512,2,1,0.582184,0.597891
512,2,1,0.581985,0.597691
1024,2,1,2.327721,2.390912
1024,2,1,2.325838,2.388826
1024,2,1,2.326631,2.389765
1024,2,1,2.327841,2.392314
1024,2,1,2.329766,2.394254
1024,2,1,2.327047,2.390083
1024,2,1,2.330155,2.394626
1024,2,1,2.326534,2.389591
1024,2,1,2.325683,2.388775
1024,2,1,2.326298,2.389256
2048,2,1,9.298599,9.551635
2048,2,1,9.306516,9.559188
2048,2,1,9.34703,9.599418
2048,2,1,9.305603,9.565253
2048,2,1,9.301833,9.554546
2048,2,1,9.299696,9.557663
2048,2,1,9.305705,9.559215
2048,2,1,9.297052,9.549684
2048,2,1,9.299061,9.551285
2048,2,1,9.299603,9.554658
4096,2,1,37.17429,38.177149
4096,2,1,37.195681,38.200169
4096,2,1,37.173041,38.175769
4096,2,1,37.183125,38.188471
4096,2,1,37.173761,38.175176
4096,2,1,37.185513,38.18753
4096,2,1,37.186804,38.193463
4096,2,1,37.184876,38.187686
4096,2,1,37.180857,38.185736
4096,2,1,37.239768,38.244563
8192,2,1,149.813815,153.836318
8192,2,1,149.03785,153.062302
8192,2,1,148.842576,152.84274
8192,2,1,148.839747,152.842455
8192,2,1,148.703416,152.715484
8192,2,1,148.975075,152.993756
8192,2,1,149.187355,153.204757
8192,2,1,150.297918,154.313777
8192,2,1,150.380399,154.488662
8192,2,1,150.703845,154.941664
16,2,2,0.001341,0.001419
16,2,2,0.000914,0.000995
16,2,2,0.00095,0.001027
16,2,2,0.000922,0.001004
16,2,2,0.000905,0.000988
16,2,2,0.000918,0.001
