size,f,threads,duration,io_alocation
16,0,1,0.000109,0.000144
16,0,1,0.000108,0.000145
16,0,1,0.000107,0.000146
16,0,1,0.000109,0.000143
16,0,1,0.000108,0.000146
16,0,1,0.000108,0.000145
16,0,1,0.000108,0.00014
16,0,1,0.000107,0.000142
16,0,1,0.000107,0.000139
16,0,1,0.000112,0.000147
32,0,1,0.00038,0.00046
32,0,1,0.000436,0.000518
32,0,1,0.00038,0.000459
32,0,1,0.000379,0.00046
32,0,1,0.000384,0.000472
32,0,1,0.000379,0.000457
32,0,1,0.000387,0.000464
32,0,1,0.000383,0.000461
32,0,1,0.000378,0.000458
32,0,1,0.000378,0.000458
64,0,1,0.001527,0.001994
64,0,1,0.001434,0.00171
64,0,1,0.001448,0.001707
64,0,1,0.001527,0.001783
64,0,1,0.001469,0.001764
64,0,1,0.001439,0.001702
64,0,1,0.001785,0.002058
64,0,1,0.001435,0.001699
64,0,1,0.001468,0.001725
64,0,1,0.001454,0.001729
128,0,1,0.005982,0.006971
128,0,1,0.006057,0.007071
128,0,1,0.005621,0.00661
128,0,1,0.005727,0.006718
128,0,1,0.00576,0.006801
128,0,1,0.006515,0.008256
128,0,1,0.005716,0.006801
128,0,1,0.005716,0.006831
128,0,1,0.005661,0.006939
128,0,1,0.005673,0.006668
256,0,1,0.022477,0.026558
256,0,1,0.0233,0.027261
256,0,1,0.023924,0.029016
256,0,1,0.023312,0.028103
256,0,1,0.025851,0.029906
256,0,1,0.023306,0.027403
256,0,1,0.022982,0.027345
256,0,1,0.022708,0.026811
256,0,1,0.022617,0.026592
256,0,1,0.022509,0.026669
512,0,1,0.089349,0.10614
512,0,1,0.0924,0.108744
512,0,1,0.090204,0.106356
512,0,1,0.092951,0.110271
512,0,1,0.089512,0.105627
512,0,1,0.089765,0.106346
512,0,1,0.090488,0.106818
512,0,1,0.092283,0.108393
512,0,1,0.091026,0.107071
512,0,1,0.091214,0.108561
1024,0,1,0.363452,0.429371
1024,0,1,0.371,0.442528
1024,0,1,0.36116,0.42829
1024,0,1,0.359507,0.427542
1024,0,1,0.360809,0.427225
1024,0,1,0.357252,0.423901
1024,0,1,0.364333,0.431312
1024,0,1,0.366727,0.431354
1024,0,1,0.366476,0.434283
1024,0,1,0.363691,0.431085
2048,0,1,1.451877,1.717777
2048,0,1,1.469999,1.73871
2048,0,1,1.445006,1.712498
2048,0,1,1.451765,1.735507
2048,0,1,1.429776,1.693178
2048,0,1,1.440377,1.72577
2048,0,1,1.438996,1.706033
2048,0,1,1.450594,1.720204
2048,0,1,1.457319,1.723234
2048,0,1,1.448446,1.749129
4096,0,1,5.770823,6.843559
4096,0,1,5.757444,6.863518
4096,0,1,5.814325,6.939967
4096,0,1,5.806819,6.867266
4096,0,1,5.766869,6.852766
4096,0,1,5.779525,6.824356
4096,0,1,5.813617,6.927855
4096,0,1,5.829496,6.899403
4096,0,1,5.629166,6.658857
4096,0,1,5.605445,6.604372
8192,0,1,22.417351,26.430565
8192,0,1,22.401162,26.411293
8192,0,1,22.402807,26.395172
8192,0,1,22.393231,26.384383
8192,0,1,22.404288,26.409382
8192,0,1,22.389018,26.40536
8192,0,1,22.397148,26.407512
8192,0,1,22.409001,26.409813
8192,0,1,22.409253,26.407501
8192,0,1,22.423292,26.423024
16,0,2,0.000171,0.00021
16,0,2,0.000373,0.000468
16,0,2,0.000158,0.000231
16,0,2,0.000173,0.000208
16,0,2,0.000188,0.000228
16,0,2,0.000191,0.000231
16,0,2,0.000217,0.000274
16,0,2,0.000224,0.000281
16,0,2,0.000318,0.000405
16,0,2,0.000278,0.000338
32,0,2,0.000585,0.00075
32,0,2,0.000586,0.000745
32,0,2,0.000573,0.000729
32,0,2,0.000587,0.000748
32,0,2,0.000583,0.000738
32,0,2,0.000614,0.000777
32,0,2,0.000609,0.000764
32,0,2,0.000579,0.000726
32,0,2,0.000589,0.000743
32,0,2,0.000584,0.000739
64,0,2,0.001691,0.002219
64,0,2,0.001769,0.002295
64,0,2,0.001692,0.002206
64,0,2,0.001698,0.002211
64,0,2,0.00169,0.002273
64,0,2,0.002169,0.002866
64,0,2,0.000828,0.00109
64,0,2,0.000859,0.001152
64,0,2,0.000855,0.001123
64,0,2,0.000851,0.001112
128,0,2,0.002996,0.003981
128,0,2,0.003182,0.004181
128,0,2,0.003399,0.004388
128,0,2,0.002995,0.003983
128,0,2,0.0034,0.004424
128,0,2,0.003229,0.004219
128,0,2,0.003184,0.004172
128,0,2,0.003393,0.004376
128,0,2,0.003023,0.004024
128,0,2,0.003243,0.00464
256,0,2,0.011415,0.015448
256,0,2,0.0114,0.015396
256,0,2,0.011422,0.015351
256,0,2,0.011432,0.015336
256,0,2,0.011793,0.01782
