size,f,threads,duration,io_alocation
16,3,1,0.001091,0.00115
16,3,1,0.001227,0.0013
16,3,1,0.001227,0.001301
16,3,1,0.001226,0.001294
16,3,1,0.001224,0.001289
16,3,1,0.001225,0.001293
16,3,1,0.001224,0.001293
16,3,1,0.001224,0.001289
16,3,1,0.001231,0.001301
16,3,1,0.001089,0.00115
32,3,1,0.004331,0.004473
32,3,1,0.003864,0.003998
32,3,1,0.002857,0.002953
32,3,1,0.002451,0.002527
32,3,1,0.002435,0.002511
32,3,1,0.002456,0.002531
32,3,1,0.002459,0.002541
32,3,1,0.002662,0.002746
32,3,1,0.002709,0.002792
32,3,1,0.002519,0.002605
64,3,1,0.011714,0.011976
64,3,1,0.011912,0.012237
64,3,1,0.011941,0.012259
64,3,1,0.011911,0.012231
64,3,1,0.01194,0.012258
64,3,1,0.010906,0.011254
64,3,1,0.009697,0.009959
64,3,1,0.009688,0.009945
64,3,1,0.009681,0.009938
64,3,1,0.009735,0.009999
128,3,1,0.038616,0.039634
128,3,1,0.038593,0.039584
128,3,1,0.039213,0.040208
128,3,1,0.038583,0.03959
128,3,1,0.038651,0.039628
128,3,1,0.038605,0.039576
128,3,1,0.038595,0.039605
128,3,1,0.03863,0.039613
128,3,1,0.038597,0.039597
128,3,1,0.038673,0.039672
256,3,1,0.154335,0.158313
256,3,1,0.154613,0.158545
256,3,1,0.154329,0.158254
256,3,1,0.154244,0.15817
256,3,1,0.154286,0.158225
256,3,1,0.154264,0.158197
256,3,1,0.154361,0.158287
256,3,1,0.154316,0.15826
256,3,1,0.154778,0.158704
256,3,1,0.154291,0.158271
512,3,1,0.616677,0.632445
512,3,1,0.617438,0.63315
512,3,1,0.616663,0.6324
512,3,1,0.616428,0.632146
512,3,1,0.616301,0.632029
512,3,1,0.616162,0.631885
512,3,1,0.616377,0.63211
512,3,1,0.61615,0.632071
512,3,1,0.616339,0.632086
512,3,1,0.616237,0.631939
1024,3,1,2.463116,2.526297
1024,3,1,2.463057,2.526033
1024,3,1,2.46452,2.527662
1024,3,1,2.463534,2.526579
1024,3,1,2.463143,2.52616
1024,3,1,2.463102,2.526121
1024,3,1,2.46313,2.526134
1024,3,1,2.466002,2.530088
1024,3,1,2.466834,2.529948
1024,3,1,2.465861,2.529062
2048,3,1,9.855047,10.109701
2048,3,1,9.854962,10.107905
2048,3,1,9.851376,10.109894
2048,3,1,9.854861,10.108259
2048,3,1,9.851339,10.11188
2048,3,1,9.84956,10.102479
2048,3,1,9.847934,10.102694
2048,3,1,9.854673,10.108276
2048,3,1,9.850792,10.103389
2048,3,1,9.851473,10.10487
4096,3,1,39.434565,40.446301
4096,3,1,39.43272,40.455783
4096,3,1,39.37916,40.386609
4096,3,1,39.401208,40.409768
4096,3,1,39.38659,40.391897
4096,3,1,39.488666,40.495936
4096,3,1,39.540896,40.549665
4096,3,1,39.588243,40.620058
4096,3,1,39.943785,41.018326
4096,3,1,39.683087,40.722447
8192,3,1,158.654205,162.807259
8192,3,1,158.173767,162.333405
8192,3,1,158.409345,162.447967
8192,3,1,158.110271,162.11126
8192,3,1,158.562534,162.891962
8192,3,1,158.581462,162.599471
8192,3,1,158.771383,162.893824
8192,3,1,158.803832,162.932775
8192,3,1,158.879213,163.005737
8192,3,1,158.870164,163.029451
16,3,2,0.000397,0.000433
16,3,2,0.000894,0.000975
16,3,2,0.000875,0.00095
16,3,2,0.000809,0.000883
16,3,2,0.000831,0.000896
16,3,2,0.000558,0.000604
16,3,2,0.000532,0.000571
16,3,2,0.000586,0.000634
16,3,2,0.000578,0.000624
16,3,2,0.000569,0.000618
32,3,2,0.001918,0.002025
32,3,2,0.001921,0.002031
32,3,2,0.00191,0.002015
32,3,2,0.001466,0.001543
32,3,2,0.001457,0.001538
32,3,2,0.001459,0.001541
32,3,2,0.001505,0.001616
32,3,2,0.001485,0.001604
32,3,2,0.001497,0.001585
32,3,2,0.001476,0.001557
64,3,2,0.005569,0.005831
64,3,2,0.005752,0.006224
64,3,2,0.005597,0.00587
64,3,2,0.005619,0.005883
64,3,2,0.005553,0.005848
64,3,2,0.006064,0.006371
64,3,2,0.005541,0.005806
64,3,2,0.005571,0.005834
64,3,2,0.005638,0.005961
64,3,2,0.00563,0.005893
128,3,2,0.022071,0.023128
128,3,2,0.022318,0.023315
128,3,2,0.022094,0.023149
128,3,2,0.022045,0.023042
128,3,2,0.0222,0.023192
128,3,2,0.02238,0.023394
128,3,2,0.022179,0.023172
128,3,2,0.022146,0.023141
128,3,2,0.022322,0.023308
128,3,2,0.022291,0.023309
256,3,2,0.08763,0.091639
256,3,2,0.087678,0.091685
256,3,2,0.088108,0.09225
256,3,2,0.087992,0.092064
256,3,2,0.088301,0.094864
256,3,2,0.088181,0.092218
256,3,2,0.088399,0.092353
256,3,2,0.087803,0.09182
256,3,2,0.088779,0.092934
256,3,2,0.088103,0.093138
512,3,2,0.350984,0.366987
512,3,2,0.351661,0.367881
512,3,2,0.352321,0.368203
512,3,2,0.350954,0.367323
512,3,2,0.351053,0.366981
512,3,2,0.352704,0.368747
512,3,2,0.353001,0.369347
512,3,2,0.353054,0.369192
512,3,2,0.353303,0.369218
512,3,2,0.351979,0.367778
1024,3,2,1.405893,1.470623
1024,3,2,1.408371,1.473193
1024,3,2,1.405995,1.471137
1024,3,2,1.404825,1.469898
1024,3,2,1.411187,1.47573
1024,3,2,1.403981,1.472002
1024,3,2,1.413654,1.478867
1024,3,2,1.394633,1.459362
1024,3,2,1.394438,1.458083
1024,3,2,1.40718,1.470403
2048,3,2,5.623852,5.882186
2048,3,2,5.620525,5.879587
2048,3,2,5.628963,5.888559
2048,3,2,5.618743,5.878518
2048,3,2,5.621431,5.881884
2048,3,2,5.616597,5.877601
2048,3,2,5.628176,5.889003
2048,3,2,5.625325,5.884145
2048,3,2,5.638521,5.93286
2048,3,2,5.647609,5.904837
4096,3,2,22.448682,23.475877
4096,3,2,22.456487,23.490928
4096,3,2,22.4553,23.486784
4096,3,2,22.44654,23.475638
4096,3,2,22.445086,23.478563
4096,3,2,22.474972,23.515112
4096,3,2,22.453584,23.500768
4096,3,2,22.432035,23.46269
4096,3,2,22.453146,23.487508
4096,3,2,22.434938,23.517913
8192,3,2,89.437905,93.479261
8192,3,2,89.892127,94.0389
8192,3,2,89.951562,94.104878
8192,3,2,89.999524,94.110253
8192,3,2,89.855834,94.031774
8192,3,2,89.955755,94.149549
8192,3,2,89.755375,93.896722
8192,3,2,89.901378,94.014667
8192,3,2,89.851208,93.96429
8192,3,2,89.787669,93.909599
16,3,4,0.000304,0.000349
16,3,4,0.000552,0.000621
16,3,4,0.000664,0.000779
16,3,4,0.000604,0.000692
16,3,4,0.000998,0.001083
16,3,4,0.000593,0.000667
16,3,4,0.000591,0.000659
16,3,4,0.000591,0.000681
16,3,4,0.000612,0.000677
16,3,4,0.000584,0.000655
32,3,4,0.001626,0.001782
32,3,4,0.001635,0.001789
32,3,4,0.004736,0.004894
32,3,4,0.001096,0.001201
32,3,4,0.00082,0.000903
32,3,4,0.000819,0.000896
32,3,4,0.000822,0.000899
32,3,4,0.000825,0.000905
32,3,4,0.000834,0.000916
32,3,4,0.000814,0.000894
64,3,4,0.00296,0.003221
64,3,4,0.002956,0.003223
64,3,4,0.003265,0.00353
64,3,4,0.002949,0.003213
64,3,4,0.002967,0.003234
64,3,4,0.003017,0.003281
64,3,4,0.002956,0.003228
64,3,4,0.002999,0.003256
64,3,4,0.003046,0.003307
64,3,4,0.003028,0.003499
128,3,4,0.011509,0.012824
128,3,4,0.011931,0.012962
128,3,4,0.011514,0.01255
128,3,4,0.011494,0.012486
128,3,4,0.011612,0.012732
128,3,4,0.011481,0.012477
128,3,4,0.011591,0.012595
128,3,4,0.011491,0.012496
128,3,4,0.012351,0.013338
128,3,4,0.011504,0.012501
256,3,4,0.046522,0.050454
256,3,4,0.045906,0.049959
256,3,4,0.046141,0.050157
256,3,4,0.046405,0.050332
256,3,4,0.046266,0.050391
256,3,4,0.045919,0.049999
256,3,4,0.046458,0.050416
256,3,4,0.04591,0.04994
256,3,4,0.046458,0.050834
256,3,4,0.045964,0.049907
512,3,4,0.183563,0.199543
512,3,4,0.185033,0.201024
512,3,4,0.183835,0.200973
512,3,4,0.184215,0.200083
512,3,4,0.183902,0.201022
512,3,4,0.183867,0.200341
512,3,4,0.183692,0.200003
512,3,4,0.185255,0.205779
512,3,4,0.185111,0.20125
512,3,4,0.184483,0.200525
1024,3,4,0.733324,0.799743
1024,3,4,0.730764,0.794944
1024,3,4,0.731635,0.797922
1024,3,4,0.732893,0.797451
1024,3,4,0.734041,0.801373
1024,3,4,0.734281,0.799599
1024,3,4,0.734877,0.800833
1024,3,4,0.74281,0.808678
1024,3,4,0.733748,0.799465
1024,3,4,0.731512,0.796949
2048,3,4,2.932611,3.199256
2048,3,4,2.93789,3.204806
2048,3,4,2.927642,3.187498
2048,3,4,2.929186,3.196054
2048,3,4,2.925021,3.188773
2048,3,4,2.928176,3.190009
2048,3,4,2.935009,3.199684
2048,3,4,2.926196,3.186165
2048,3,4,2.933793,3.193167
2048,3,4,2.944207,3.203787
4096,3,4,11.769476,12.798385
4096,3,4,11.752978,12.78194
4096,3,4,11.770058,12.806854
4096,3,4,11.76401,12.822471
4096,3,4,11.734702,12.76992
4096,3,4,11.725006,12.778134
4096,3,4,11.735801,12.776602
4096,3,4,11.73553,12.778927
4096,3,4,11.731181,12.762484
4096,3,4,11.73294,12.788305
8192,3,4,46.905143,51.048954
8192,3,4,46.90685,51.054151
8192,3,4,46.811274,50.916431
8192,3,4,46.897375,51.002859
8192,3,4,46.790131,50.935557
8192,3,4,46.894736,51.059329
8192,3,4,46.980592,51.124931
8192,3,4,46.922412,51.104141
8192,3,4,47.115807,51.25742
8192,3,4,47.005751,51.170454
16,3,8,0.001061,0.001098
16,3,8,0.006717,0.006827
16,3,8,0.003101,0.003167
16,3,8,0.009369,0.009449
16,3,8,0.006846,0.006891
16,3,8,0.002568,0.002608
16,3,8,0.001954,0.001991
16,3,8,0.010829,0.010862
16,3,8,0.014254,0.014293
16,3,8,0.00095,0.000984
32,3,8,0.002237,0.002314
32,3,8,0.009813,0.00989
32,3,8,0.012651,0.01273
32,3,8,0.001848,0.001934
32,3,8,0.001185,0.001266
32,3,8,0.005399,0.005477
32,3,8,0.024014,0.024119
32,3,8,0.007838,0.007945
32,3,8,0.008277,0.008356
32,3,8,0.005116,0.005202
64,3,8,0.001935,0.002198
64,3,8,0.004699,0.004962
64,3,8,0.003741,0.004011
64,3,8,0.008599,0.008864
64,3,8,0.002559,0.002825
64,3,8,0.013645,0.013918
64,3,8,0.002112,0.002433
64,3,8,0.005033,0.005299
64,3,8,0.002163,0.00243
64,3,8,0.005932,0.006323
128,3,8,0.008365,0.009427
128,3,8,0.011744,0.012749
128,3,8,0.010046,0.011053
128,3,8,0.014498,0.015489
128,3,8,0.008852,0.009873
128,3,8,0.009169,0.010164
128,3,8,0.008542,0.009536
128,3,8,0.009179,0.010208
128,3,8,0.012473,0.013457
128,3,8,0.020258,0.021243
256,3,8,0.034094,0.038153
256,3,8,0.028913,0.032899
256,3,8,0.037337,0.041525
256,3,8,0.034774,0.038776
256,3,8,0.034965,0.038935
256,3,8,0.030562,0.034548
256,3,8,0.031464,0.035438
256,3,8,0.030953,0.034931
256,3,8,0.029432,0.033415
256,3,8,0.029709,0.033823
512,3,8,0.121375,0.137652
512,3,8,0.113669,0.13099
512,3,8,0.117045,0.133125
512,3,8,0.11721,0.133318
512,3,8,0.114403,0.130501
512,3,8,0.115478,0.131881
512,3,8,0.111922,0.12785
512,3,8,0.113802,0.130123
512,3,8,0.128588,0.144774
512,3,8,0.113333,0.129541
1024,3,8,0.454323,0.525185
1024,3,8,0.465628,0.53097
1024,3,8,0.446354,0.510502
1024,3,8,0.457007,0.522181
1024,3,8,0.44979,0.514154
1024,3,8,0.452626,0.517976
1024,3,8,0.445441,0.511775
1024,3,8,0.480678,0.544546
1024,3,8,0.448715,0.513477
1024,3,8,0.465746,0.530095
2048,3,8,1.772489,2.038356
2048,3,8,1.817676,2.07803
2048,3,8,1.851101,2.109694
2048,3,8,1.801102,2.059554
2048,3,8,1.808697,2.067681
2048,3,8,1.800673,2.060165
2048,3,8,1.797306,2.056488
2048,3,8,1.814584,2.07629
2048,3,8,1.77034,2.037948
2048,3,8,1.841515,2.110377
4096,3,8,7.051835,8.122575
4096,3,8,7.414169,8.484132
4096,3,8,7.111678,8.137644
4096,3,8,7.250434,8.283636
4096,3,8,7.239167,8.292973
4096,3,8,7.143636,8.203225
4096,3,8,7.135378,8.174014
4096,3,8,7.265512,8.292754
4096,3,8,7.305007,8.343067
4096,3,8,7.401313,8.459237
8192,3,8,28.835158,32.960683
8192,3,8,28.102849,32.204381
8192,3,8,28.301892,32.445856
8192,3,8,28.230125,32.368097
8192,3,8,30.207499,34.417538
8192,3,8,28.959613,33.094589
8192,3,8,28.170494,32.316085
8192,3,8,28.663946,32.782535
8192,3,8,28.752792,32.889218
8192,3,8,28.409135,32.597687
16,3,16,0.000674,0.000721
16,3,16,0.001348,0.001417
16,3,16,0.001289,0.001368
16,3,16,0.00128,0.001343
16,3,16,0.001164,0.001236
16,3,16,0.001207,0.001284
16,3,16,0.003059,0.003126
16,3,16,0.001156,0.001225
16,3,16,0.001218,0.00129
16,3,16,0.001142,0.001214
32,3,16,0.001742,0.001899
32,3,16,0.001995,0.002148
32,3,16,0.002742,0.002926
32,3,16,0.002085,0.002251
32,3,16,0.002492,0.002648
32,3,16,0.00124,0.001352
32,3,16,0.001019,0.001102
32,3,16,0.001147,0.001231
32,3,16,0.001375,0.001453
32,3,16,0.001127,0.001211
64,3,16,0.003377,0.003642
64,3,16,0.002756,0.003029
64,3,16,0.003178,0.003459
64,3,16,0.005173,0.00544
64,3,16,0.003281,0.003548
64,3,16,0.002458,0.002715
64,3,16,0.005228,0.005561
64,3,16,0.002947,0.003214
64,3,16,0.002573,0.00287
64,3,16,0.003484,0.003752
