size,f,threads,duration,io_alocation
16,1,1,0.001248,0.001306
16,1,1,0.001403,0.001464
16,1,1,0.001817,0.00191
16,1,1,0.001402,0.001479
16,1,1,0.000701,0.000736
16,1,1,0.000701,0.000739
16,1,1,0.000701,0.000731
16,1,1,0.000704,0.000736
16,1,1,0.0007,0.000736
16,1,1,0.000701,0.000733
32,1,1,0.002768,0.002845
32,1,1,0.002769,0.002849
32,1,1,0.002769,0.002848
32,1,1,0.002768,0.002842
32,1,1,0.002771,0.002848
32,1,1,0.002768,0.002844
32,1,1,0.002771,0.002847
32,1,1,0.002778,0.002854
32,1,1,0.002768,0.002848
32,1,1,0.002773,0.002853
64,1,1,0.011093,0.011371
64,1,1,0.011042,0.011303
64,1,1,0.011043,0.011345
64,1,1,0.011036,0.011294
64,1,1,0.011035,0.011292
64,1,1,0.011032,0.011287
64,1,1,0.011013,0.011268
64,1,1,0.011013,0.01127
64,1,1,0.011028,0.011283
64,1,1,0.011043,0.011304
128,1,1,0.043948,0.044947
128,1,1,0.043946,0.044922
128,1,1,0.043949,0.044941
128,1,1,0.04393,0.044924
128,1,1,0.043992,0.044979
128,1,1,0.043944,0.044943
128,1,1,0.043944,0.04495
128,1,1,0.043905,0.044902
128,1,1,0.043916,0.0449
128,1,1,0.043943,0.044912
256,1,1,0.175432,0.179384
256,1,1,0.175455,0.179378
256,1,1,0.175495,0.179423
256,1,1,0.175543,0.179491
256,1,1,0.175486,0.17941
256,1,1,0.175334,0.179283
256,1,1,0.175394,0.179303
256,1,1,0.175392,0.179315
256,1,1,0.175541,0.179474
256,1,1,0.175415,0.17934
512,1,1,0.701075,0.716879
512,1,1,0.702808,0.718524
512,1,1,0.701278,0.717101
512,1,1,0.700936,0.716702
512,1,1,0.700971,0.716806
512,1,1,0.701088,0.71683
512,1,1,0.70109,0.716814
512,1,1,0.701019,0.716774
512,1,1,0.701054,0.716816
512,1,1,0.701171,0.717021
1024,1,1,2.802759,2.865788
1024,1,1,2.80632,2.876765
1024,1,1,2.804089,2.867314
1024,1,1,2.803573,2.866578
1024,1,1,2.802629,2.865629
1024,1,1,2.802889,2.865972
1024,1,1,2.805905,2.868881
1024,1,1,2.803097,2.866138
1024,1,1,2.803653,2.866619
1024,1,1,2.803849,2.866974
2048,1,1,11.211489,11.463804
2048,1,1,11.213505,11.472027
2048,1,1,11.208819,11.461326
2048,1,1,11.214967,11.468032
2048,1,1,11.209359,11.461821
2048,1,1,11.208249,11.461656
2048,1,1,11.213812,11.469056
2048,1,1,11.209848,11.462038
2048,1,1,11.212877,11.465688
2048,1,1,11.209357,11.461633
4096,1,1,44.837584,45.840465
4096,1,1,44.829535,45.830862
4096,1,1,44.837342,45.83783
4096,1,1,44.830636,45.830453
4096,1,1,44.829304,45.830071
4096,1,1,44.831226,45.833242
4096,1,1,44.828467,45.82984
4096,1,1,44.829894,45.831424
4096,1,1,44.834853,45.842222
4096,1,1,44.835577,45.841663
8192,1,1,179.301611,183.290318
8192,1,1,179.365793,183.364691
8192,1,1,179.307846,183.326726
8192,1,1,179.326595,183.333331
8192,1,1,179.588908,183.584461
8192,1,1,179.56139,183.55394
8192,1,1,179.490538,183.481442
8192,1,1,179.690648,183.680771
8192,1,1,179.426884,183.42349
8192,1,1,179.311021,183.314745
16,1,2,0.000481,0.000516
16,1,2,0.000507,0.000553
16,1,2,0.000461,0.000499
16,1,2,0.000462,0.000502
