size,f,threads,duration,io_alocation
16,2,1,0.000679,0.00077
16,2,1,0.000692,0.000784
16,2,1,0.000688,0.000775
16,2,1,0.000705,0.000793
16,2,1,0.000654,0.000757
16,2,1,0.000659,0.00075
16,2,1,0.000693,0.000811
16,2,1,0.000663,0.000753
16,2,1,0.000688,0.000795
16,2,1,0.000688,0.000774
32,2,1,0.002454,0.002658
32,2,1,0.002205,0.00234
32,2,1,0.003204,0.003338
32,2,1,0.002227,0.002362
32,2,1,0.002338,0.002472
32,2,1,0.002187,0.002344
32,2,1,0.002245,0.002383
32,2,1,0.002288,0.003127
32,2,1,0.002184,0.002339
32,2,1,0.003117,0.003257
64,2,1,0.008528,0.008847
64,2,1,0.009052,0.009359
64,2,1,0.008427,0.00873
64,2,1,0.009066,0.009375
64,2,1,0.008566,0.008868
64,2,1,0.009145,0.00946
64,2,1,0.009581,0.010169
64,2,1,0.008469,0.008795
64,2,1,0.009084,0.009472
64,2,1,0.008553,0.008882
128,2,1,0.034183,0.035201
128,2,1,0.03381,0.0348
128,2,1,0.035619,0.036691
128,2,1,0.033292,0.034427
128,2,1,0.033473,0.034493
128,2,1,0.033667,0.034712
128,2,1,0.033483,0.034468
128,2,1,0.033501,0.034527
128,2,1,0.033905,0.034929
128,2,1,0.034295,0.035502
256,2,1,0.134212,0.138438
256,2,1,0.133743,0.137869
256,2,1,0.135179,0.139637
256,2,1,0.137841,0.141989
256,2,1,0.133269,0.137252
256,2,1,0.135527,0.140119
256,2,1,0.139557,0.143836
256,2,1,0.135726,0.139893
256,2,1,0.131581,0.13581
256,2,1,0.135318,0.139126
512,2,1,0.535375,0.55223
512,2,1,0.526811,0.542825
512,2,1,0.531532,0.546715
512,2,1,0.541908,0.557935
512,2,1,0.528419,0.544396
512,2,1,0.527074,0.5428
512,2,1,0.530777,0.546105
512,2,1,0.540513,0.556794
512,2,1,0.535383,0.552418
512,2,1,0.543002,0.55895
1024,2,1,2.150768,2.219393
1024,2,1,2.142179,2.209269
1024,2,1,2.106667,2.169658
1024,2,1,2.127055,2.190518
1024,2,1,2.150409,2.21513
1024,2,1,2.124689,2.196624
1024,2,1,2.145892,2.210516
1024,2,1,2.147772,2.21309
1024,2,1,2.126247,2.1929
1024,2,1,2.110547,2.176335
2048,2,1,8.584184,8.845638
2048,2,1,8.453488,8.71579
2048,2,1,8.506835,8.765697
2048,2,1,8.409317,8.669502
2048,2,1,8.402186,8.660031
2048,2,1,8.669636,8.926833
2048,2,1,8.410779,8.67085
2048,2,1,8.562021,8.814498
2048,2,1,8.436349,8.693836
2048,2,1,8.434322,8.688815
4096,2,1,34.100877,35.112175
4096,2,1,33.83967,34.879319
4096,2,1,34.804592,35.808932
4096,2,1,35.103818,36.19422
4096,2,1,35.236214,36.427591
4096,2,1,35.169305,36.440492
4096,2,1,35.536923,36.737488
4096,2,1,35.792421,37.021031
4096,2,1,35.445575,36.705799
4096,2,1,35.872741,37.214928
8192,2,1,145.644017,151.768348
8192,2,1,143.042213,148.406929
8192,2,1,144.097452,149.246299
8192,2,1,144.70748,149.835525
8192,2,1,144.44466,149.744158
8192,2,1,143.46426,148.732171
8192,2,1,137.245132,141.549166
8192,2,1,136.693103,140.798233
8192,2,1,137.666815,141.820031
8192,2,1,139.544811,143.827269
16,2,2,0.000383,0.000475
16,2,2,0.000415,0.000518
16,2,2,0.000409,0.000499
16,2,2,0.000418,0.000505
16,2,2,0.000406,0.000492
16,2,2,0.000439,0.000523
16,2,2,0.000427,0.000513
16,2,2,0.000384,0.000478
16,2,2,0.00038,0.000467
16,2,2,0.00037,0.000454
32,2,2,0.00118,0.001311
32,2,2,0.00134,0.001498
32,2,2,0.00123,0.001361
32,2,2,0.001205,0.001337
32,2,2,0.001599,0.001736
32,2,2,0.001165,0.001306
32,2,2,0.001166,0.001302
32,2,2,0.001193,0.001324
32,2,2,0.001266,0.001397
32,2,2,0.001307,0.001455
64,2,2,0.004494,0.0048
64,2,2,0.004531,0.005082
64,2,2,0.004483,0.004799
64,2,2,0.004666,0.004971
64,2,2,0.004427,0.004745
64,2,2,0.00473,0.005039
64,2,2,0.004504,0.004827
64,2,2,0.004474,0.004797
64,2,2,0.00452,0.004912
64,2,2,0.004316,0.004847
128,2,2,0.017206,0.01819
128,2,2,0.017454,0.018561
128,2,2,0.018277,0.019676
128,2,2,0.017333,0.018353
128,2,2,0.017079,0.018131
128,2,2,0.017394,0.018463
128,2,2,0.017322,0.018353
128,2,2,0.017183,0.018217
128,2,2,0.018341,0.019501
128,2,2,0.018385,0.019636
256,2,2,0.070158,0.074037
256,2,2,0.068702,0.072445
256,2,2,0.068676,0.072623
256,2,2,0.069364,0.073541
256,2,2,0.068119,0.072564
256,2,2,0.068198,0.072751
256,2,2,0.069973,0.074837
256,2,2,0.068526,0.07303
256,2,2,0.069528,0.073491
256,2,2,0.067968,0.072714
512,2,2,0.276826,0.295256
512,2,2,0.269825,0.286236
512,2,2,0.272111,0.288454
512,2,2,0.278376,0.296928
512,2,2,0.274388,0.291974
512,2,2,0.279189,0.295293
512,2,2,0.274724,0.290745
512,2,2,0.28153,0.297409
512,2,2,0.273751,0.295056
512,2,2,0.269688,0.285722
1024,2,2,1.077411,1.141336
1024,2,2,1.068817,1.134039
1024,2,2,1.065257,1.130057
1024,2,2,1.075664,1.140203
1024,2,2,1.069395,1.134575
1024,2,2,1.075736,1.141267
1024,2,2,1.066577,1.129964
1024,2,2,1.062249,1.123603
1024,2,2,1.07789,1.141899
1024,2,2,1.07315,1.137407
2048,2,2,4.291079,4.553196
2048,2,2,4.360096,4.625968
2048,2,2,4.35265,4.608838
2048,2,2,4.354687,4.616099
2048,2,2,4.298455,4.561681
2048,2,2,4.292299,4.542129
2048,2,2,4.361164,4.614807
2048,2,2,4.285461,4.543665
2048,2,2,4.336368,4.588473
2048,2,2,4.331844,4.587932
4096,2,2,17.239622,18.282146
4096,2,2,17.484013,18.571103
4096,2,2,17.254191,18.378136
4096,2,2,17.202805,18.258827
4096,2,2,17.095772,18.130869
4096,2,2,17.261702,18.335354
4096,2,2,17.320205,18.424269
4096,2,2,17.378289,18.459946
4096,2,2,17.371598,18.41463
4096,2,2,17.412735,18.454402
8192,2,2,69.142822,73.236259
8192,2,2,69.046763,73.015545
8192,2,2,68.665425,72.823445
8192,2,2,69.276572,73.554429
8192,2,2,68.92995,73.121566
8192,2,2,68.733985,72.928074
8192,2,2,68.73565,72.745472
8192,2,2,68.988151,73.231595
8192,2,2,68.991681,73.041695
8192,2,2,69.961828,74.231991
16,2,4,0.000299,0.000538
16,2,4,0.000343,0.000435
16,2,4,0.000338,0.000437
16,2,4,0.001024,0.001114
16,2,4,0.000323,0.000439
16,2,4,0.000288,0.000375
16,2,4,0.000313,0.0004
16,2,4,0.000332,0.000417
16,2,4,0.00031,0.000395
16,2,4,0.00035,0.000439
32,2,4,0.000767,0.0009
32,2,4,0.000823,0.000955
32,2,4,0.000773,0.000903
32,2,4,0.000768,0.000899
32,2,4,0.000866,0.001053
32,2,4,0.00077,0.000915
32,2,4,0.000894,0.00103
32,2,4,0.000802,0.000937
32,2,4,0.001284,0.001414
32,2,4,0.000761,0.00089
64,2,4,0.002784,0.003088
64,2,4,0.002656,0.002965
64,2,4,0.002661,0.002966
64,2,4,0.002785,0.003088
64,2,4,0.002336,0.002643
64,2,4,0.002231,0.002534
64,2,4,0.002605,0.002955
64,2,4,0.002553,0.00286
64,2,4,0.002436,0.002746
64,2,4,0.002617,0.00292
128,2,4,0.011151,0.012129
128,2,4,0.010908,0.011971
128,2,4,0.009406,0.011356
128,2,4,0.010326,0.011348
128,2,4,0.010182,0.011284
128,2,4,0.010002,0.011121
128,2,4,0.010159,0.011141
128,2,4,0.010038,0.011029
128,2,4,0.01038,0.011487
128,2,4,0.010634,0.011671
256,2,4,0.040062,0.044498
256,2,4,0.040102,0.044243
256,2,4,0.03585,0.040569
256,2,4,0.035443,0.039532
256,2,4,0.039777,0.043759
256,2,4,0.034372,0.038236
256,2,4,0.041766,0.046306
256,2,4,0.039731,0.044559
256,2,4,0.039688,0.044126
256,2,4,0.0397,0.043848
512,2,4,0.159844,0.175209
512,2,4,0.165051,0.180345
512,2,4,0.160774,0.177276
512,2,4,0.140891,0.156625
512,2,4,0.156482,0.173116
512,2,4,0.158011,0.186286
512,2,4,0.135901,0.152468
512,2,4,0.153239,0.168988
512,2,4,0.155791,0.171532
512,2,4,0.156387,0.172173
1024,2,4,0.59097,0.658298
1024,2,4,0.639905,0.707071
1024,2,4,0.632182,0.697527
1024,2,4,0.598171,0.664215
1024,2,4,0.634214,0.696904
1024,2,4,0.589393,0.653771
1024,2,4,0.631146,0.698237
1024,2,4,0.562774,0.626833
1024,2,4,0.560774,0.624609
1024,2,4,0.622011,0.688825
2048,2,4,2.299176,2.57587
2048,2,4,2.351499,2.603709
2048,2,4,2.207736,2.494781
2048,2,4,2.249886,2.504252
2048,2,4,2.38547,2.643794
2048,2,4,2.23899,2.497937
2048,2,4,2.256121,2.525583
2048,2,4,2.267998,2.565151
2048,2,4,2.232863,2.506499
2048,2,4,2.242474,2.50324
4096,2,4,8.954981,10.045198
4096,2,4,9.052772,10.099362
4096,2,4,8.835449,9.924758
4096,2,4,9.003056,10.092587
4096,2,4,8.658516,9.700995
4096,2,4,8.715366,9.744585
4096,2,4,8.671415,9.730185
4096,2,4,8.767899,9.773207
4096,2,4,8.787642,9.810001
4096,2,4,8.844436,9.89841
8192,2,4,35.552843,39.809272
8192,2,4,35.034851,39.138501
8192,2,4,35.039206,39.174474
8192,2,4,35.417774,39.525288
8192,2,4,36.317228,40.428067
8192,2,4,35.030412,39.133344
8192,2,4,35.234209,39.311624
8192,2,4,34.981725,39.087837
8192,2,4,35.075265,39.286988
8192,2,4,35.235928,39.426131
16,2,8,0.000488,0.000607
16,2,8,0.000371,0.000473
16,2,8,0.000386,0.000473
16,2,8,0.000375,0.000463
16,2,8,0.001055,0.001159
16,2,8,0.000378,0.00047
16,2,8,0.000436,0.000521
16,2,8,0.000381,0.000492
16,2,8,0.000383,0.000467
16,2,8,0.000384,0.000469
32,2,8,0.000937,0.001101
32,2,8,0.000798,0.000933
32,2,8,0.000874,0.001003
32,2,8,0.000673,0.000806
32,2,8,0.000834,0.001042
32,2,8,0.0009,0.001067
32,2,8,0.000847,0.000994
32,2,8,0.000928,0.001064
32,2,8,0.000882,0.001089
32,2,8,0.000775,0.000908
64,2,8,0.002431,0.002948
