size,f,threads,duration,io_alocation
16,0,1,0.000204,0.000321
16,0,1,0.000215,0.000301
16,0,1,0.000242,0.000365
16,0,1,0.000277,0.000363
16,0,1,0.000206,0.000317
16,0,1,0.000263,0.00035
16,0,1,0.000204,0.00029
16,0,1,0.000233,0.000319
16,0,1,0.000244,0.000329
16,0,1,0.00024,0.000327
32,0,1,0.000468,0.000611
32,0,1,0.00049,0.000692
32,0,1,0.000487,0.000668
32,0,1,0.00048,0.000607
32,0,1,0.000532,0.000662
32,0,1,0.000465,0.000683
32,0,1,0.000432,0.000612
32,0,1,0.000425,0.000556
32,0,1,0.000459,0.000632
32,0,1,0.000532,0.000702
64,0,1,0.001614,0.001942
64,0,1,0.00137,0.00168
64,0,1,0.001549,0.00185
64,0,1,0.001517,0.001986
64,0,1,0.001484,0.001788
64,0,1,0.001424,0.001724
64,0,1,0.001715,0.002022
64,0,1,0.001576,0.00188
64,0,1,0.001543,0.001845
64,0,1,0.001408,0.001713
128,0,1,0.005446,0.006579
128,0,1,0.005719,0.006926
128,0,1,0.005331,0.006339
128,0,1,0.005351,0.006509
128,0,1,0.005548,0.006633
128,0,1,0.005174,0.006199
128,0,1,0.006336,0.007488
128,0,1,0.006513,0.008212
128,0,1,0.005159,0.006207
128,0,1,0.005704,0.007393
256,0,1,0.021092,0.025236
256,0,1,0.020926,0.025016
256,0,1,0.020688,0.024713
256,0,1,0.020464,0.024439
256,0,1,0.020512,0.024396
256,0,1,0.02106,0.02492
256,0,1,0.020525,0.02444
256,0,1,0.02018,0.02401
256,0,1,0.021173,0.02504
256,0,1,0.021424,0.025296
512,0,1,0.088169,0.104009
512,0,1,0.080228,0.095629
512,0,1,0.080377,0.096007
512,0,1,0.082027,0.097769
512,0,1,0.079827,0.09551
512,0,1,0.082271,0.097426
512,0,1,0.079897,0.09539
512,0,1,0.083441,0.098867
512,0,1,0.080154,0.096102
512,0,1,0.080942,0.095923
1024,0,1,0.324051,0.388824
1024,0,1,0.321862,0.401684
1024,0,1,0.324493,0.389537
1024,0,1,0.317508,0.378724
1024,0,1,0.324161,0.385761
1024,0,1,0.318341,0.383601
1024,0,1,0.320709,0.387882
1024,0,1,0.319869,0.381602
1024,0,1,0.321699,0.381988
1024,0,1,0.324751,0.388837
2048,0,1,1.296392,1.540922
2048,0,1,1.270408,1.527995
2048,0,1,1.300701,1.585147
2048,0,1,1.28885,1.535652
2048,0,1,1.285766,1.562031
2048,0,1,1.305298,1.553744
2048,0,1,1.284236,1.542138
2048,0,1,1.27766,1.541284
2048,0,1,1.286705,1.539945
2048,0,1,1.271668,1.523923
4096,0,1,5.111027,6.143471
4096,0,1,5.123784,6.137513
4096,0,1,5.116717,6.120302
4096,0,1,5.209932,6.219104
4096,0,1,5.145822,6.195454
4096,0,1,5.128401,6.142748
4096,0,1,5.128542,6.103961
4096,0,1,5.132333,6.178339
4096,0,1,5.110731,6.174036
4096,0,1,5.097123,6.095125
8192,0,1,20.255351,24.323842
8192,0,1,20.284917,24.331627
8192,0,1,20.255594,24.111848
8192,0,1,18.697329,22.621996
8192,0,1,20.081852,24.003622
8192,0,1,20.585827,23.12173
8192,0,1,20.396402,24.622546
8192,0,1,20.395623,24.230214
8192,0,1,20.089843,23.900063
8192,0,1,14.830928,18.619749
16,0,2,0.000211,0.000298
16,0,2,0.000196,0.000285
16,0,2,0.000164,0.000283
16,0,2,0.000212,0.000301
16,0,2,0.000194,0.000277
16,0,2,0.000202,0.000287
16,0,2,0.000222,0.000311
16,0,2,0.000231,0.000341
16,0,2,0.000187,0.00027
16,0,2,0.00026,0.000347
32,0,2,0.000383,0.000532
32,0,2,0.000353,0.000487
32,0,2,0.000349,0.000538
32,0,2,0.000314,0.000448
32,0,2,0.000288,0.000422
32,0,2,0.000352,0.000479
32,0,2,0.000325,0.000457
32,0,2,0.000308,0.000466
32,0,2,0.000359,0.000559
32,0,2,0.000318,0.000455
64,0,2,0.000795,0.001099
64,0,2,0.000835,0.001184
64,0,2,0.001063,0.001411
64,0,2,0.00079,0.001097
64,0,2,0.00097,0.001306
64,0,2,0.000791,0.001092
64,0,2,0.000778,0.001135
64,0,2,0.000767,0.00107
64,0,2,0.000795,0.001098
64,0,2,0.000836,0.001154
128,0,2,0.002736,0.003785
128,0,2,0.00281,0.003926
128,0,2,0.002724,0.003724
128,0,2,0.003362,0.004517
128,0,2,0.002891,0.004222
128,0,2,0.002741,0.003774
128,0,2,0.002772,0.003769
128,0,2,0.002763,0.00377
128,0,2,0.002714,0.003695
128,0,2,0.003239,0.004267
256,0,2,0.010394,0.014462
256,0,2,0.010539,0.014764
256,0,2,0.010517,0.01487
256,0,2,0.010549,0.01448
256,0,2,0.010694,0.014718
256,0,2,0.010556,0.014531
256,0,2,0.010625,0.014634
256,0,2,0.010168,0.014124
256,0,2,0.010705,0.014862
256,0,2,0.010272,0.014196
512,0,2,0.041151,0.058778
512,0,2,0.041064,0.05721
512,0,2,0.041952,0.05779
512,0,2,0.041589,0.056799
512,0,2,0.040095,0.056039
512,0,2,0.041975,0.061285
512,0,2,0.042372,0.06493
512,0,2,0.041504,0.056656
512,0,2,0.042119,0.059098
512,0,2,0.041398,0.057543
1024,0,2,0.160062,0.226488
1024,0,2,0.165629,0.233834
1024,0,2,0.161788,0.222837
1024,0,2,0.175892,0.246494
1024,0,2,0.161506,0.238021
1024,0,2,0.165642,0.231269
1024,0,2,0.167136,0.232373
1024,0,2,0.162149,0.226752
1024,0,2,0.16552,0.227518
1024,0,2,0.161343,0.224016
2048,0,2,0.655007,0.919401
2048,0,2,0.652658,0.942722
2048,0,2,0.702355,0.99516
2048,0,2,0.646911,0.906631
2048,0,2,0.659339,0.915207
2048,0,2,0.696684,0.958281
2048,0,2,0.66595,0.952528
2048,0,2,0.6427,0.90857
2048,0,2,0.636962,0.885833
2048,0,2,0.642417,0.904652
4096,0,2,2.566167,3.541967
4096,0,2,2.51748,3.49546
4096,0,2,2.528292,3.487525
4096,0,2,2.55313,3.517077
4096,0,2,2.542167,3.505109
4096,0,2,2.640903,3.666462
4096,0,2,2.566213,3.63575
4096,0,2,2.500695,3.448213
4096,0,2,2.499205,3.448124
4096,0,2,2.51587,3.457355
8192,0,2,10.476272,14.340583
8192,0,2,10.722187,15.271007
8192,0,2,10.528064,14.738915
8192,0,2,10.595074,15.016684
8192,0,2,10.619067,15.031533
8192,0,2,10.588406,14.89171
8192,0,2,10.567165,14.92762
8192,0,2,10.566174,14.986132
8192,0,2,10.568144,14.825386
8192,0,2,10.604268,14.792737
16,0,4,0.000184,0.000275
16,0,4,0.000169,0.000257
16,0,4,0.000208,0.000296
16,0,4,0.000225,0.00031
16,0,4,0.000218,0.000306
16,0,4,0.000165,0.00025
16,0,4,0.000213,0.000299
16,0,4,0.000202,0.000288
16,0,4,0.000209,0.000291
16,0,4,0.000238,0.000319
32,0,4,0.000278,0.000426
32,0,4,0.000366,0.000498
32,0,4,0.000281,0.000415
32,0,4,0.002793,0.002923
32,0,4,0.000863,0.001017
32,0,4,0.000331,0.000467
32,0,4,0.000292,0.000425
32,0,4,0.000299,0.000429
32,0,4,0.000282,0.000412
32,0,4,0.000276,0.00044
64,0,4,0.002238,0.00255
64,0,4,0.000574,0.000876
64,0,4,0.000589,0.000889
64,0,4,0.000584,0.000884
64,0,4,0.000585,0.000887
64,0,4,0.001262,0.001583
64,0,4,0.002333,0.002635
64,0,4,0.000611,0.000913
64,0,4,0.000568,0.000869
64,0,4,0.000618,0.000927
128,0,4,0.001724,0.002707
