size,f,threads,duration,io_alocation
16,3,1,0.000685,0.000809
16,3,1,0.000723,0.000846
16,3,1,0.000707,0.000806
16,3,1,0.000733,0.000822
16,3,1,0.000672,0.000764
16,3,1,0.000654,0.000743
16,3,1,0.000655,0.000742
16,3,1,0.002022,0.002147
16,3,1,0.000666,0.000781
16,3,1,0.00063,0.000722
32,3,1,0.002305,0.00249
32,3,1,0.002606,0.002743
32,3,1,0.002335,0.002472
32,3,1,0.00231,0.002438
32,3,1,0.002346,0.002486
32,3,1,0.00232,0.002456
32,3,1,0.002507,0.002639
32,3,1,0.00236,0.00251
32,3,1,0.002315,0.002453
32,3,1,0.002313,0.002494
64,3,1,0.009238,0.009552
64,3,1,0.00922,0.009527
64,3,1,0.009097,0.009402
64,3,1,0.008846,0.009183
64,3,1,0.009112,0.009436
64,3,1,0.008801,0.009111
64,3,1,0.008886,0.009214
64,3,1,0.008986,0.009343
64,3,1,0.008963,0.009272
64,3,1,0.008846,0.009155
128,3,1,0.035756,0.036944
128,3,1,0.035706,0.036727
128,3,1,0.035281,0.036278
128,3,1,0.035663,0.036671
128,3,1,0.035825,0.036821
128,3,1,0.037361,0.038342
128,3,1,0.035147,0.03617
128,3,1,0.03515,0.036532
128,3,1,0.035246,0.036288
128,3,1,0.034933,0.035941
256,3,1,0.142362,0.146186
256,3,1,0.143451,0.147318
256,3,1,0.141168,0.145147
256,3,1,0.145183,0.149103
256,3,1,0.140068,0.144776
256,3,1,0.146273,0.150082
256,3,1,0.147406,0.151893
256,3,1,0.143573,0.148481
256,3,1,0.147297,0.151282
256,3,1,0.145517,0.150298
512,3,1,0.584486,0.605909
512,3,1,0.599038,0.61993
512,3,1,0.575687,0.591832
512,3,1,0.585242,0.60415
512,3,1,0.567898,0.585097
512,3,1,0.568443,0.58499
512,3,1,0.580413,0.598625
512,3,1,0.560673,0.57833
512,3,1,0.563931,0.579542
512,3,1,0.567149,0.585065
1024,3,1,2.354556,2.41709
1024,3,1,2.349553,2.417099
1024,3,1,2.291796,2.358192
1024,3,1,2.271976,2.338974
1024,3,1,2.282948,2.345937
1024,3,1,2.279952,2.345651
1024,3,1,2.291745,2.359183
1024,3,1,2.348676,2.411228
1024,3,1,2.357175,2.426838
1024,3,1,2.254068,2.323863
2048,3,1,9.055731,9.31273
2048,3,1,9.424349,9.684083
2048,3,1,9.086414,9.368791
2048,3,1,9.039887,9.307962
2048,3,1,9.0018,9.257759
2048,3,1,9.073612,9.332057
2048,3,1,9.025097,9.29517
2048,3,1,9.017565,9.27602
2048,3,1,9.029926,9.280455
2048,3,1,8.99477,9.250878
4096,3,1,35.988234,36.982427
4096,3,1,37.271324,38.348409
4096,3,1,37.097638,38.359289
4096,3,1,36.613788,37.723879
4096,3,1,36.50608,37.667844
4096,3,1,36.455282,37.587612
4096,3,1,36.515345,37.633693
4096,3,1,36.568784,37.763361
4096,3,1,36.626941,37.783153
4096,3,1,36.444435,37.594938
8192,3,1,146.32548,150.750128
8192,3,1,143.17565,147.850636
8192,3,1,132.236162,134.883821
8192,3,1,145.204544,149.615433
8192,3,1,119.586823,123.466167
8192,3,1,104.752853,107.676316
8192,3,1,95.210821,97.210626
8192,3,1,91.582437,94.233424
8192,3,1,95.007992,98.454022
8192,3,1,121.571774,125.627613
16,3,2,0.000432,0.000526
16,3,2,0.000436,0.000526
16,3,2,0.000444,0.000528
16,3,2,0.00045,0.000532
16,3,2,0.000464,0.00055
16,3,2,0.00042,0.000505
16,3,2,0.000441,0.000531
16,3,2,0.000438,0.000518
16,3,2,0.000451,0.000539
16,3,2,0.00046,0.000545
32,3,2,0.001262,0.001395
32,3,2,0.001271,0.0014
32,3,2,0.001249,0.001374
32,3,2,0.001255,0.001384
32,3,2,0.001258,0.001384
32,3,2,0.001249,0.001378
32,3,2,0.001276,0.001414
32,3,2,0.001253,0.001382
32,3,2,0.001257,0.001387
32,3,2,0.00125,0.00138
64,3,2,0.004584,0.004889
64,3,2,0.004508,0.004805
64,3,2,0.004524,0.004824
64,3,2,0.004681,0.00498
64,3,2,0.004695,0.005014
64,3,2,0.004631,0.004935
64,3,2,0.004498,0.004801
64,3,2,0.004636,0.005083
64,3,2,0.004603,0.004962
64,3,2,0.004517,0.004821
128,3,2,0.017692,0.018685
128,3,2,0.017891,0.018924
128,3,2,0.017546,0.018552
128,3,2,0.017502,0.01849
128,3,2,0.017561,0.018547
128,3,2,0.017616,0.018601
128,3,2,0.017505,0.018483
128,3,2,0.017675,0.018677
128,3,2,0.017811,0.018829
128,3,2,0.017419,0.01842
256,3,2,0.070573,0.074339
256,3,2,0.069964,0.07383
256,3,2,0.069169,0.072901
256,3,2,0.070795,0.074614
256,3,2,0.070113,0.074125
256,3,2,0.069585,0.07332
256,3,2,0.070346,0.074213
256,3,2,0.070176,0.073977
256,3,2,0.069943,0.073708
256,3,2,0.06997,0.073821
512,3,2,0.2765,0.291785
512,3,2,0.21623,0.231287
512,3,2,0.130649,0.137937
512,3,2,0.130478,0.137513
512,3,2,0.133024,0.139914
512,3,2,0.136395,0.143491
512,3,2,0.136554,0.143926
512,3,2,0.135208,0.143365
512,3,2,0.134332,0.142062
512,3,2,0.140734,0.147862
1024,3,2,0.531988,0.564268
1024,3,2,0.732695,0.762095
1024,3,2,1.121223,1.186419
1024,3,2,1.123388,1.184549
1024,3,2,0.777148,0.838117
1024,3,2,0.538656,0.568616
1024,3,2,0.952867,0.984582
1024,3,2,1.129101,1.192665
1024,3,2,1.126626,1.188032
1024,3,2,0.536012,0.596566
2048,3,2,3.99646,4.117208
2048,3,2,4.555704,4.799827
2048,3,2,3.251179,3.492773
2048,3,2,4.439738,4.688012
2048,3,2,4.505205,4.749997
2048,3,2,4.491852,4.736546
2048,3,2,4.470068,4.714895
2048,3,2,4.430915,4.675263
2048,3,2,4.414112,4.657424
2048,3,2,4.459356,4.699406
4096,3,2,17.688192,18.650715
4096,3,2,16.403157,17.372049
4096,3,2,12.283169,12.753375
4096,3,2,12.460217,13.442339
4096,3,2,16.42352,17.004261
