size,f,threads,duration,io_alocation
16,1,1,0.000458,0.000507
16,1,1,0.000457,0.00051
16,1,1,0.000462,0.000508
16,1,1,0.00046,0.000508
16,1,1,0.000415,0.000485
16,1,1,0.000455,0.000502
16,1,1,0.000461,0.000505
16,1,1,0.000452,0.000498
16,1,1,0.000461,0.000506
16,1,1,0.000464,0.000508
32,1,1,0.001461,0.001536
32,1,1,0.001465,0.001552
32,1,1,0.001459,0.001541
32,1,1,0.00143,0.001499
32,1,1,0.00142,0.00149
32,1,1,0.001393,0.001461
32,1,1,0.001418,0.001489
32,1,1,0.00147,0.001537
32,1,1,0.001424,0.001487
32,1,1,0.001315,0.00138
64,1,1,0.004939,0.005108
64,1,1,0.004922,0.005076
64,1,1,0.00491,0.005057
64,1,1,0.004918,0.005067
64,1,1,0.004935,0.005081
64,1,1,0.004914,0.005058
64,1,1,0.004929,0.005079
64,1,1,0.004894,0.005053
64,1,1,0.004912,0.005065
64,1,1,0.004957,0.00511
128,1,1,0.01889,0.019384
128,1,1,0.020459,0.020913
128,1,1,0.018949,0.019446
128,1,1,0.018168,0.018626
128,1,1,0.018016,0.018474
128,1,1,0.018211,0.018654
128,1,1,0.017968,0.018412
128,1,1,0.017883,0.01832
128,1,1,0.017931,0.018409
128,1,1,0.017963,0.018402
256,1,1,0.071134,0.072887
256,1,1,0.071465,0.073154
256,1,1,0.071071,0.072746
256,1,1,0.071051,0.072773
256,1,1,0.071242,0.072954
256,1,1,0.071121,0.072798
256,1,1,0.070939,0.072628
256,1,1,0.070746,0.072461
256,1,1,0.071031,0.072746
256,1,1,0.071558,0.073258
512,1,1,0.62447,0.635979
512,1,1,0.623871,0.63863
512,1,1,0.623722,0.638561
512,1,1,0.624046,0.638844
512,1,1,0.623596,0.638305
512,1,1,0.362355,0.377161
512,1,1,0.282974,0.289755
512,1,1,0.283164,0.290038
512,1,1,0.282222,0.28903
512,1,1,0.282917,0.28978
1024,1,1,1.127924,1.155403
1024,1,1,1.534738,1.563315
1024,1,1,2.507411,2.566458
1024,1,1,1.12476,1.156311
1024,1,1,1.127965,1.155482
1024,1,1,1.262737,1.290183
1024,1,1,2.493272,2.55811
1024,1,1,1.365352,1.424351
1024,1,1,1.12345,1.152042
1024,1,1,1.124393,1.151769
2048,1,1,5.813061,5.934938
2048,1,1,5.834643,6.07167
2048,1,1,5.819575,6.05623
2048,1,1,7.201922,7.43851
2048,1,1,6.78332,7.022095
2048,1,1,6.394163,6.509398
2048,1,1,5.750702,5.869056
2048,1,1,5.751581,5.873574
2048,1,1,5.746159,5.861329
2048,1,1,5.824387,6.061021
4096,1,1,23.292207,24.238557
4096,1,1,23.070589,23.517173
4096,1,1,23.805959,24.25581
4096,1,1,26.470164,27.416373
4096,1,1,26.664329,27.609823
4096,1,1,24.333186,25.275543
4096,1,1,27.234509,27.814121
4096,1,1,23.609478,24.07074
4096,1,1,23.305799,24.285539
4096,1,1,23.015693,23.715362
8192,1,1,93.472108,95.759859
8192,1,1,92.78144,94.988304
8192,1,1,92.588903,94.325993
8192,1,1,92.996534,94.964764
8192,1,1,73.168578,75.520071
8192,1,1,78.181785,79.916977
8192,1,1,92.423869,94.226061
8192,1,1,90.7419,92.476713
8192,1,1,92.158698,93.896741
8192,1,1,74.399969,76.134474
16,1,2,0.000333,0.000391
16,1,2,0.000318,0.00037
16,1,2,0.000312,0.00036
16,1,2,0.000307,0.000352
16,1,2,0.00031,0.000358
16,1,2,0.000313,0.000362
16,1,2,0.000314,0.000361
16,1,2,0.000303,0.000351
16,1,2,0.000311,0.000361
16,1,2,0.000273,0.000323
32,1,2,0.00082,0.000893
32,1,2,0.000848,0.000923
32,1,2,0.000837,0.00091
32,1,2,0.000835,0.000908
32,1,2,0.000835,0.000909
32,1,2,0.000837,0.000911
32,1,2,0.000849,0.000921
32,1,2,0.000839,0.000911
32,1,2,0.000836,0.000906
32,1,2,0.000836,0.00091
64,1,2,0.002959,0.003131
64,1,2,0.00292,0.003096
64,1,2,0.002921,0.003088
64,1,2,0.002923,0.003092
64,1,2,0.002932,0.003104
64,1,2,0.002922,0.00309
64,1,2,0.002922,0.003088
64,1,2,0.00293,0.003099
64,1,2,0.002923,0.003093
64,1,2,0.002916,0.003093
128,1,2,0.011136,0.011707
128,1,2,0.010481,0.011031
128,1,2,0.009028,0.009473
128,1,2,0.009073,0.009508
128,1,2,0.00913,0.00958
128,1,2,0.009016,0.009517
128,1,2,0.0091,0.009543
128,1,2,0.009079,0.009516
128,1,2,0.009017,0.009449
128,1,2,0.009082,0.009514
256,1,2,0.035682,0.037435
256,1,2,0.036956,0.038683
256,1,2,0.035736,0.037432
256,1,2,0.035884,0.037602
256,1,2,0.035811,0.037537
256,1,2,0.035742,0.037465
256,1,2,0.035588,0.037304
256,1,2,0.035783,0.037495
256,1,2,0.035804,0.037462
256,1,2,0.035829,0.037496
512,1,2,0.141512,0.148489
512,1,2,0.142213,0.148976
512,1,2,0.142819,0.149612
512,1,2,0.142345,0.149182
512,1,2,0.141738,0.148517
512,1,2,0.141546,0.148384
512,1,2,0.141595,0.148346
512,1,2,0.142454,0.14922
512,1,2,0.141587,0.14831
512,1,2,0.142696,0.149483
1024,1,2,0.567995,0.595496
1024,1,2,1.207122,1.234841
1024,1,2,1.104387,1.163928
1024,1,2,0.566666,0.594162
1024,1,2,0.569751,0.597409
1024,1,2,0.569012,0.596409
1024,1,2,0.56753,0.595145
1024,1,2,0.564263,0.59274
1024,1,2,1.105092,1.134301
1024,1,2,1.213562,1.273083
2048,1,2,2.260977,2.370733
2048,1,2,3.519465,3.63443
2048,1,2,2.273422,2.39156
2048,1,2,3.502777,3.620143
2048,1,2,2.453956,2.569973
2048,1,2,3.058734,3.294982
2048,1,2,3.141522,3.259652
2048,1,2,2.393768,2.630403
2048,1,2,3.373264,3.611591
2048,1,2,3.519754,3.642502
4096,1,2,11.593379,12.033605
4096,1,2,12.137998,12.634589
4096,1,2,12.102457,13.044655
4096,1,2,11.784396,12.727297
4096,1,2,13.09299,14.041412
4096,1,2,12.194449,12.64145
4096,1,2,12.782184,13.231844
4096,1,2,12.165434,12.611573
4096,1,2,12.197232,12.643421
4096,1,2,13.197069,14.14605
8192,1,2,50.689474,52.733681
8192,1,2,50.029013,53.131779
8192,1,2,50.64879,52.883144
8192,1,2,53.006072,55.009324
8192,1,2,49.407272,52.358377
8192,1,2,51.13576,54.177026
8192,1,2,51.902856,54.702045
8192,1,2,55.015999,57.637519
8192,1,2,53.844879,56.717736
8192,1,2,50.118623,52.459896
16,1,4,0.000252,0.000307
16,1,4,0.00027,0.000325
16,1,4,0.000245,0.000295
16,1,4,0.00026,0.000311
16,1,4,0.000251,0.0003
16,1,4,0.000248,0.000297
16,1,4,0.000227,0.000275
16,1,4,0.000238,0.000286
16,1,4,0.000237,0.000284
16,1,4,0.000244,0.000294
32,1,4,0.000519,0.00059
32,1,4,0.000524,0.000598
32,1,4,0.000539,0.000611
32,1,4,0.000519,0.000592
32,1,4,0.000546,0.000618
32,1,4,0.000543,0.000615
32,1,4,0.000546,0.000619
32,1,4,0.000574,0.000647
32,1,4,0.00054,0.000612
32,1,4,0.000556,0.00063
64,1,4,0.001798,0.001969
64,1,4,0.001807,0.001976
64,1,4,0.00175,0.00192
64,1,4,0.001788,0.001963
64,1,4,0.001794,0.001962
64,1,4,0.001778,0.001945
64,1,4,0.001769,0.001935
64,1,4,0.001812,0.001983
