size,f,threads,duration,io_alocation
16,2,0,0.000282,0.00034
32,2,0,0.004643,0.004936
64,2,0,0.007235,0.007499
128,2,0,0.019036,0.019691
256,2,0,0.060754,0.062531
512,2,0,0.240725,0.247348
1024,2,0,0.956769,0.983614
2048,2,0,3.808381,3.914764
4096,2,0,15.251995,15.673493
8192,2,0,61.003333,62.682664
16,2,0,0.000305,0.000364
32,2,0,0.003988,0.004276
64,2,0,0.009476,0.010132
128,2,0,0.020129,0.022311
256,2,0,0.060853,0.062655
512,2,0,0.238688,0.245337
1024,2,0,0.952965,0.979555
2048,2,0,3.809755,3.915793
4096,2,0,15.278372,15.696632
8192,2,0,60.990376,62.664916
16,2,0,0.000326,0.000385
32,2,0,0.00465,0.004959
64,2,0,0.008742,0.009446
128,2,0,0.02046,0.022597
256,2,0,0.06266,0.064505
512,2,0,0.238107,0.244748
1024,2,0,0.95155,0.978275
2048,2,0,3.80838,3.916244
4096,2,0,15.270002,15.692211
8192,2,0,60.958066,62.624527
16,2,0,0.000315,0.000372
32,2,0,0.004466,0.004765
64,2,0,0.009841,0.010523
128,2,0,0.020666,0.022815
256,2,0,0.060606,0.062412
512,2,0,0.244694,0.251364
1024,2,0,0.961184,0.988812
2048,2,0,3.81248,3.91869
4096,2,0,15.256299,15.680774
8192,2,0,60.990782,62.6568
16,2,0,0.000315,0.000374
32,2,0,0.004176,0.004484
64,2,0,0.009499,0.01038
128,2,0,0.0231,0.025269
256,2,0,0.061121,0.063031
512,2,0,0.237934,0.244575
1024,2,0,0.952465,0.979523
2048,2,0,3.818854,3.925083
4096,2,0,15.298806,15.722441
8192,2,0,61.029032,62.70146
16,2,0,0.000326,0.000384
32,2,0,0.004658,0.00495
64,2,0,0.00995,0.010779
128,2,0,0.023462,0.025777
256,2,0,0.060921,0.062851
512,2,0,0.238112,0.244692
1024,2,0,0.95146,0.978255
2048,2,0,3.810236,3.916248
4096,2,0,15.278719,15.696397
8192,2,0,61.023805,62.689607
16,2,0,0.000322,0.000394
32,2,0,0.004251,0.004544
64,2,0,0.009195,0.00987
128,2,0,0.049108,0.050815
256,2,0,0.062376,0.064924
512,2,0,0.243994,0.250634
1024,2,0,0.952288,0.979468
2048,2,0,3.813605,3.91966
4096,2,0,15.249384,15.667761
8192,2,0,61.111301,62.782468
16,2,0,0.000305,0.000358
32,2,0,0.001952,0.002078
64,2,0,0.010118,0.01097
128,2,0,0.022393,0.024574
256,2,0,0.061174,0.063135
512,2,0,0.238082,0.244724
1024,2,0,0.951328,0.978079
2048,2,0,3.825355,3.933338
4096,2,0,15.236534,15.654165
8192,2,0,61.038634,62.71267
16,2,0,0.000315,0.000371
32,2,0,0.004362,0.004653
64,2,0,0.009959,0.010764
128,2,0,0.02197,0.024127
256,2,0,0.060854,0.062759
512,2,0,0.23825,0.244947
1024,2,0,0.951004,0.977905
2048,2,0,3.817185,3.923386
4096,2,0,15.241121,15.660091
8192,2,0,60.988357,62.653496
16,2,0,0.000326,0.000384
32,2,0,0.004678,0.004972
64,2,0,0.009051,0.009719
128,2,0,0.033557,0.034452
256,2,0,0.060451,0.0629
512,2,0,0.2404,0.24696
1024,2,0,0.954391,0.98134
2048,2,0,3.80237,3.908988
4096,2,0,15.256598,15.675523
8192,2,0,60.994451,62.660749
