size,f,threads,duration,io_alocation
16,0,0,5.2e-5,0.000112
32,0,0,0.000187,0.000268
64,0,0,0.00072,0.000902
128,0,0,0.002802,0.003428
256,0,0,0.011087,0.01435
512,0,0,0.040125,0.048662
1024,0,0,0.151463,0.182787
2048,0,0,0.592785,0.714304
4096,0,0,4.208157,4.678282
8192,0,0,16.24508,18.671315
16,0,0,9.2e-5,0.000197
32,0,0,0.000334,0.000477
64,0,0,0.001278,0.001604
128,0,0,0.004969,0.005985
256,0,0,0.01992,0.023722
512,0,0,0.078348,0.093398
1024,0,0,0.323383,0.387451
2048,0,0,1.261431,1.515209
4096,0,0,3.769784,4.778424
8192,0,0,15.075509,19.092147
16,0,0,5.9e-5,0.00012
32,0,0,0.000666,0.001036
64,0,0,0.002715,0.003815
128,0,0,0.00911,0.011263
256,0,0,0.011238,0.014842
512,0,0,0.040468,0.049192
1024,0,0,0.163099,0.200033
2048,0,0,0.681015,0.818247
4096,0,0,3.867098,4.890747
8192,0,0,17.216015,20.792638
16,0,0,9.1e-5,0.000207
32,0,0,0.000334,0.000489
64,0,0,0.001268,0.001584
128,0,0,0.005516,0.00652
256,0,0,0.020275,0.024393
512,0,0,0.086364,0.101614
1024,0,0,0.32722,0.396542
2048,0,0,1.186912,1.430925
4096,0,0,4.190069,4.671286
8192,0,0,15.092849,18.775356
16,0,0,9.1e-5,0.000195
32,0,0,0.000333,0.000479
64,0,0,0.001281,0.001603
128,0,0,0.005271,0.006667
256,0,0,0.018113,0.022075
512,0,0,0.039388,0.047954
1024,0,0,0.150921,0.181765
2048,0,0,0.598207,0.724868
4096,0,0,4.240633,4.744517
8192,0,0,15.941637,19.331843
16,0,0,9.1e-5,0.000195
32,0,0,0.000332,0.000474
64,0,0,0.001459,0.001774
128,0,0,0.005019,0.006046
256,0,0,0.019872,0.023768
512,0,0,0.078995,0.094214
1024,0,0,0.314272,0.376321
2048,0,0,1.270433,1.517543
4096,0,0,3.775822,4.769631
8192,0,0,16.299746,19.111909
16,0,0,9.1e-5,0.000197
32,0,0,0.000333,0.00048
64,0,0,0.001334,0.001654
128,0,0,0.00521,0.006222
256,0,0,0.019685,0.023484
512,0,0,0.079189,0.094576
1024,0,0,0.317069,0.379006
2048,0,0,1.251583,1.494976
4096,0,0,2.648797,3.562901
8192,0,0,15.960401,18.956373
16,0,0,5.9e-5,0.000125
32,0,0,0.00021,0.000298
64,0,0,0.000741,0.000925
128,0,0,0.002804,0.003404
256,0,0,0.011083,0.013291
512,0,0,0.039409,0.048073
1024,0,0,0.149451,0.180754
2048,0,0,0.610695,0.729193
4096,0,0,4.065638,4.761293
8192,0,0,17.717883,21.667995
16,0,0,9.1e-5,0.000184
32,0,0,0.000334,0.00048
64,0,0,0.001274,0.001589
128,0,0,0.004928,0.005949
256,0,0,0.019653,0.023472
512,0,0,0.078707,0.093748
1024,0,0,0.323314,0.385731
2048,0,0,1.263807,1.512271
4096,0,0,3.771926,4.777619
8192,0,0,20.227357,24.179977
16,0,0,9.1e-5,0.000197
32,0,0,0.000333,0.000477
64,0,0,0.001267,0.001584
128,0,0,0.00501,0.006022
256,0,0,0.019661,0.023442
512,0,0,0.078304,0.093518
1024,0,0,0.312604,0.373159
2048,0,0,1.258134,1.507098
4096,0,0,4.176311,4.895332
8192,0,0,19.807048,23.856009
