size,f,threads,duration,io_alocation
16,3,0,0.000254,0.000296
32,3,0,0.001011,0.001072
64,3,0,0.004066,0.004203
128,3,0,0.015925,0.016359
256,3,0,0.064014,0.065756
512,3,0,0.255411,0.262103
1024,3,0,1.01382,1.04034
2048,3,0,4.041492,4.147781
4096,3,0,16.14481,16.563609
8192,3,0,64.627111,66.295493
16,3,0,0.00034,0.000396
32,3,0,0.004206,0.0045
64,3,0,0.010259,0.011016
128,3,0,0.024819,0.02694
256,3,0,0.095145,0.103176
512,3,0,0.254453,0.261098
1024,3,0,1.014229,1.040748
2048,3,0,4.03711,4.14352
4096,3,0,16.137199,16.55551
8192,3,0,64.633643,66.296961
16,3,0,0.000332,0.00039
32,3,0,0.004224,0.004513
64,3,0,0.010205,0.010974
128,3,0,0.023391,0.025612
256,3,0,0.064241,0.066098
512,3,0,0.252206,0.258793
1024,3,0,1.007384,1.034043
2048,3,0,4.034853,4.14137
4096,3,0,16.157322,16.576392
8192,3,0,64.582072,66.250595
16,3,0,0.000321,0.000377
32,3,0,0.004248,0.004596
64,3,0,0.010029,0.010788
128,3,0,0.045652,0.047826
256,3,0,0.063941,0.066158
512,3,0,0.253828,0.260395
1024,3,0,1.009407,1.036165
2048,3,0,4.041694,4.147807
4096,3,0,16.152352,16.570509
8192,3,0,64.657269,66.336377
16,3,0,0.000332,0.000388
32,3,0,0.004628,0.004931
64,3,0,0.010665,0.011447
128,3,0,0.024262,0.026408
256,3,0,0.065229,0.067092
512,3,0,0.273554,0.295597
1024,3,0,1.025919,1.052443
2048,3,0,4.046926,4.152604
4096,3,0,16.132823,16.554641
8192,3,0,64.688697,66.374088
16,3,0,0.000332,0.000388
32,3,0,0.004496,0.004797
64,3,0,0.010089,0.010852
128,3,0,0.023188,0.025414
256,3,0,0.064545,0.066452
512,3,0,0.252043,0.258693
1024,3,0,1.019394,1.045998
2048,3,0,4.061461,4.168378
4096,3,0,16.133695,16.551719
8192,3,0,64.610324,66.277565
16,3,0,0.000311,0.000369
32,3,0,0.003923,0.004221
64,3,0,0.009537,0.010304
128,3,0,0.024519,0.02666
256,3,0,0.067761,0.069726
512,3,0,0.252059,0.258723
1024,3,0,1.006605,1.033317
2048,3,0,4.044346,4.15059
4096,3,0,16.153969,16.573313
8192,3,0,64.658396,66.328492
16,3,0,0.000311,0.000367
32,3,0,0.004264,0.004562
64,3,0,0.010301,0.011318
128,3,0,0.025986,0.028136
256,3,0,0.0677,0.069778
512,3,0,0.252237,0.258806
1024,3,0,1.007575,1.034135
2048,3,0,4.053897,4.160006
4096,3,0,16.16017,16.580902
8192,3,0,64.623294,66.298078
16,3,0,0.000311,0.000364
32,3,0,0.004457,0.004815
64,3,0,0.010023,0.010802
128,3,0,0.018714,0.020874
256,3,0,0.065466,0.067276
512,3,0,0.254946,0.261532
1024,3,0,1.017697,1.044425
2048,3,0,4.054589,4.161368
4096,3,0,16.141882,16.559759
8192,3,0,64.686303,66.352491
16,3,0,0.000333,0.000388
32,3,0,0.003831,0.004137
64,3,0,0.010249,0.010968
128,3,0,0.023738,0.025974
256,3,0,0.065927,0.067841
512,3,0,0.252277,0.25886
1024,3,0,1.007199,1.03379
2048,3,0,4.036972,4.142997
4096,3,0,16.146258,16.566569
8192,3,0,64.660742,66.325693
