size,f,threads,duration,io_alocation
16,1,0,0.000615,0.000716
32,1,0,0.00283,0.003015
64,1,0,0.011068,0.011423
128,1,0,0.042164,0.043708
256,1,0,0.182053,0.189726
512,1,0,0.645546,0.662567
1024,1,0,2.565189,2.634626
2048,1,0,10.362048,10.631395
4096,1,0,41.449655,42.497234
8192,1,0,166.242622,170.675307
16,1,0,0.000615,0.000717
32,1,0,0.002524,0.002713
64,1,0,0.010209,0.010548
128,1,0,0.039975,0.041103
256,1,0,0.162694,0.166675
512,1,0,0.674923,0.693926
1024,1,0,2.630282,2.710445
2048,1,0,10.506938,10.790501
4096,1,0,42.361192,43.519614
8192,1,0,165.202259,169.612304
16,1,0,0.000646,0.00076
32,1,0,0.002429,0.002571
64,1,0,0.010135,0.010456
128,1,0,0.040103,0.041106
256,1,0,0.162504,0.166456
512,1,0,0.664591,0.68065
1024,1,0,2.568127,2.634617
2048,1,0,10.240852,10.537078
4096,1,0,41.1553,42.237249
8192,1,0,164.927602,169.324438
16,1,0,0.000727,0.000879
32,1,0,0.002736,0.002974
64,1,0,0.010273,0.01085
128,1,0,0.040506,0.04172
256,1,0,0.162132,0.166405
512,1,0,0.666083,0.682936
1024,1,0,2.65067,2.719958
2048,1,0,10.445744,10.775373
4096,1,0,41.271877,42.363546
8192,1,0,164.640246,169.003642
16,1,0,0.000616,0.000723
32,1,0,0.002458,0.002606
64,1,0,0.010806,0.011122
128,1,0,0.040009,0.041446
256,1,0,0.160466,0.165005
512,1,0,0.641294,0.657558
1024,1,0,2.581654,2.660979
2048,1,0,10.296928,10.584734
4096,1,0,41.207964,42.32292
8192,1,0,164.845465,169.259544
16,1,0,0.000633,0.000756
32,1,0,0.002442,0.002583
64,1,0,0.009924,0.010248
128,1,0,0.039255,0.040288
256,1,0,0.156328,0.16026
512,1,0,0.629041,0.644544
1024,1,0,2.517575,2.579578
2048,1,0,10.352245,10.599463
4096,1,0,40.102932,41.153495
8192,1,0,162.042249,166.034223
16,1,0,0.000614,0.000709
32,1,0,0.00245,0.002592
64,1,0,0.010015,0.010326
128,1,0,0.039143,0.040584
256,1,0,0.157279,0.161175
512,1,0,0.625302,0.640827
1024,1,0,2.498818,2.560888
2048,1,0,9.982509,10.226627
4096,1,0,40.355972,41.390667
8192,1,0,154.420167,158.545788
16,1,0,0.000614,0.000727
32,1,0,0.002448,0.002603
64,1,0,0.009902,0.010252
128,1,0,0.039315,0.040403
256,1,0,0.158777,0.162706
512,1,0,0.631578,0.647125
1024,1,0,2.508916,2.574242
2048,1,0,6.725107,6.976849
4096,1,0,33.080433,33.822662
8192,1,0,162.398471,166.333849
16,1,0,0.000615,0.000721
32,1,0,0.002527,0.002686
64,1,0,0.009878,0.0102
128,1,0,0.039597,0.040607
256,1,0,0.15719,0.161033
512,1,0,0.627517,0.642598
1024,1,0,2.532553,2.593312
2048,1,0,10.1103,10.388559
4096,1,0,41.133873,42.240114
8192,1,0,166.302879,170.668131
16,1,0,0.000672,0.000798
32,1,0,0.002493,0.002634
64,1,0,0.010449,0.010763
128,1,0,0.040484,0.042112
256,1,0,0.160002,0.164036
512,1,0,0.64814,0.666268
1024,1,0,2.654007,2.737456
2048,1,0,10.565898,10.930424
4096,1,0,42.321255,43.503057
8192,1,0,166.116174,170.366043
