threads,processes,griddim,blocos,duration,io_alocation
0,8,0,0,10.665503,12.474807
0,8,0,0,11.952433,13.149622
0,8,0,0,11.860284,13.522244
0,8,0,0,9.061326,10.978232
0,8,0,0,10.808247,12.491955
0,8,0,0,9.14868,10.364415
0,8,0,0,8.957199,10.69034
0,8,0,0,11.415404,12.812218
0,8,0,0,10.966442,12.648834
0,8,0,0,12.088613,13.500358
0,8,0,0,12.18913,13.681454
0,8,0,0,12.758175,14.657017
0,8,0,0,12.119844,13.511666
0,8,0,0,13.042046,14.230346
0,8,0,0,12.649312,14.250977
0,16,0,0,12.208792,15.200033
0,16,0,0,13.233498,16.845589
0,16,0,0,13.566372,17.472797
0,16,0,0,12.7487,16.06727
0,16,0,0,13.85825,16.317718
0,16,0,0,13.306627,16.264749
0,16,0,0,13.012574,16.428356
0,16,0,0,13.255047,16.621349
0,16,0,0,13.455207,15.785133
0,16,0,0,11.926633,15.621738
0,16,0,0,11.778242,15.095108
0,16,0,0,12.027876,15.228814
0,16,0,0,12.21536,15.580408
0,16,0,0,12.855636,16.213786
0,16,0,0,12.728136,16.555981
0,32,0,0,12.787234,19.710441
0,32,0,0,12.802743,18.584203
0,32,0,0,11.324168,17.730071
0,32,0,0,11.778038,18.141089
0,32,0,0,11.610641,17.986389
0,32,0,0,11.690245,18.216166
0,32,0,0,11.620208,17.655352
0,32,0,0,9.886845,16.324123
0,32,0,0,11.218275,17.425532
0,32,0,0,11.438564,17.786307
0,32,0,0,10.307644,16.604095
0,32,0,0,11.311742,17.779655
0,32,0,0,12.636304,18.75442
0,32,0,0,11.134905,17.501915
0,32,0,0,11.363621,17.725126
