threads,processes,griddim,blocos,duration,io_alocation
0,0,1,1,499.040412,499.181094
0,0,1,1,499.352232,499.462359
0,0,1,1,499.119722,499.233705
0,0,1,1,499.098875,499.322347
0,0,1,1,498.995157,499.208474
0,0,1,1,500.637428,500.864114
0,0,1,1,500.572027,500.787841
0,0,1,1,500.694998,500.813682
0,0,1,1,501.095995,501.209462
0,0,1,1,500.747985,500.96375
0,0,1,1,501.11042,501.333938
0,0,1,1,500.710907,500.940145
0,0,1,1,500.196039,500.427882
0,0,1,1,500.193805,500.30485
0,0,1,1,500.755062,500.979854
0,0,1,2,137.792212,138.021442
0,0,1,2,137.042947,137.160715
0,0,1,2,137.263621,137.490227
0,0,1,2,137.250873,137.365679
0,0,1,2,137.305118,137.534778
0,0,1,2,137.323096,137.435904
0,0,1,2,137.301956,137.535795
0,0,1,2,137.307047,137.531774
0,0,1,2,137.563967,137.685044
0,0,1,2,137.279887,137.399516
0,0,1,2,137.3019,137.521137
0,0,1,2,137.273935,137.398631
0,0,1,2,137.291619,137.516811
0,0,1,2,137.261018,137.38032
0,0,1,2,137.331695,137.551826
0,0,1,4,34.607404,34.843483
0,0,1,4,34.639455,34.872461
0,0,1,4,34.634528,34.756428
0,0,1,4,34.611785,34.844806
0,0,1,4,34.641551,34.760695
0,0,1,4,34.630434,34.744679
0,0,1,4,34.635239,34.816146
0,0,1,4,34.638528,34.865435
0,0,1,4,34.644931,34.860241
0,0,1,4,34.619621,34.738873
0,0,1,4,34.634595,34.75163
0,0,1,4,34.631541,34.745615
0,0,1,4,34.629974,34.852281
0,0,1,4,34.638814,34.854822
0,0,1,4,34.63329,34.856425
0,0,1,8,9.65961,9.887822
0,0,1,8,9.622123,9.734284
0,0,1,8,9.642918,9.879351
0,0,1,8,9.62772,9.857417
0,0,1,8,9.643515,9.754069
0,0,1,8,9.64103,9.868065
0,0,1,8,9.643595,9.757575
0,0,1,8,9.644993,9.8727
0,0,1,8,9.642758,9.874081
0,0,1,8,9.645009,9.859686
0,0,1,8,9.629819,9.746389
0,0,1,8,9.639386,9.859794
0,0,1,8,9.626227,9.849234
0,0,1,8,9.628105,9.741184
0,0,1,8,9.622707,9.7389
0,0,1,16,4.01453,4.1291
0,0,1,16,4.015547,4.132732
0,0,1,16,4.013852,4.246692
0,0,1,16,4.013229,4.236399
0,0,1,16,4.01202,4.228988
0,0,1,16,4.012343,4.234638
0,0,1,16,4.012238,4.238293
0,0,1,16,4.014614,4.246753
0,0,1,16,4.011538,4.229321
