threads,processes,griddim,blocos,duration,io_alocation
0,0,4,32,1.494461,1.621839
0,0,4,32,1.458017,1.671125
0,0,4,32,1.453486,1.690727
0,0,4,32,1.463871,1.609008
0,0,4,32,1.458632,1.68967
0,0,4,32,1.466328,1.685657
0,0,4,32,1.522126,1.652661
0,0,4,32,1.486057,1.719345
0,0,4,32,1.558632,1.680432
0,0,4,32,1.577695,1.824165
0,0,4,32,1.562685,1.679941
0,0,4,32,1.551927,1.801078
0,0,4,32,1.550495,1.800627
0,0,4,32,1.474548,1.716529
0,0,4,32,1.528556,1.753244
0,0,8,32,1.351386,1.578768
0,0,8,32,1.349167,1.57894
0,0,8,32,1.348377,1.583954
0,0,8,32,1.344523,1.57846
0,0,8,32,1.352872,1.607133
0,0,8,32,1.418184,1.647005
0,0,8,32,1.426608,1.655882
0,0,8,32,1.35128,1.579681
0,0,8,32,1.42272,1.677229
0,0,8,32,1.346356,1.606468
0,0,8,32,1.401234,1.643561
0,0,8,32,1.422828,1.665446
0,0,8,32,1.354482,1.606663
0,0,8,32,1.407311,1.622734
0,0,8,32,1.439629,1.661174
0,0,16,32,1.409669,1.653228
0,0,16,32,1.360411,1.610192
0,0,16,32,1.542399,1.807599
0,0,16,32,1.425832,1.686233
0,0,16,32,1.413886,1.634702
0,0,16,32,1.322223,1.556974
0,0,16,32,1.398941,1.631675
0,0,16,32,1.431788,1.653368
0,0,16,32,1.367453,1.603508
0,0,16,32,1.349326,1.601612
0,0,16,32,1.336826,1.585603
0,0,16,32,1.384805,1.631203
0,0,16,32,1.336804,1.555141
0,0,16,32,1.338071,1.569923
0,0,16,32,1.334156,1.551342
0,0,32,32,1.360297,1.6417
0,0,32,32,1.314957,1.547983
0,0,32,32,1.316944,1.537705
0,0,32,32,1.403654,1.663724
0,0,32,32,1.391593,1.626418
0,0,32,32,1.382913,1.615725
0,0,32,32,1.323771,1.554938
0,0,32,32,1.706326,1.930971
0,0,32,32,1.665326,1.921217
0,0,32,32,1.648696,1.879004
0,0,32,32,1.434319,1.681133
0,0,32,32,1.432778,1.69488
0,0,32,32,1.403886,1.634361
0,0,32,32,1.639775,1.894319
0,0,32,32,1.412592,1.658307
