threads,processes,griddim,blocos,duration,io_alocation
1,0,0,0,26.354856,26.806334
1,0,0,0,25.547503,26.433634
1,0,0,0,25.741065,26.465148
1,0,0,0,23.531318,23.964622
1,0,0,0,23.092915,23.912234
1,0,0,0,22.894064,23.564383
1,0,0,0,17.890369,18.322573
1,0,0,0,22.266447,22.698286
1,0,0,0,19.056544,19.572876
1,0,0,0,22.899085,23.33266
1,0,0,0,26.646171,27.105797
1,0,0,0,25.63336,26.067039
1,0,0,0,26.905203,27.55003
1,0,0,0,27.500852,27.941122
1,0,0,0,28.064358,28.536945
2,0,0,0,12.138351,13.06395
2,0,0,0,12.056272,12.491129
2,0,0,0,12.887101,13.379101
2,0,0,0,12.053027,12.487209
2,0,0,0,12.053156,12.486114
2,0,0,0,12.531585,13.457065
2,0,0,0,12.051133,12.484939
2,0,0,0,12.744245,13.176362
2,0,0,0,12.055663,12.48865
2,0,0,0,12.095162,12.529844
2,0,0,0,15.456732,15.904441
2,0,0,0,16.638574,17.595554
2,0,0,0,15.122702,16.079849
2,0,0,0,17.271303,18.229414
2,0,0,0,16.799646,17.232858
4,0,0,0,6.999499,7.925741
4,0,0,0,7.039705,7.471799
4,0,0,0,7.150769,7.931984
4,0,0,0,7.245827,7.679779
4,0,0,0,6.811808,7.245328
4,0,0,0,7.960487,8.575572
4,0,0,0,6.808517,7.239191
4,0,0,0,6.888914,7.320944
4,0,0,0,6.879654,7.312122
4,0,0,0,6.874211,7.307019
4,0,0,0,9.944181,10.37982
4,0,0,0,8.93535,9.371968
4,0,0,0,7.036979,7.469816
4,0,0,0,7.931286,8.857532
4,0,0,0,7.671632,8.104662
8,0,0,0,4.536203,4.967011
8,0,0,0,4.95545,5.390787
8,0,0,0,4.559767,5.399529
8,0,0,0,4.427683,5.349669
8,0,0,0,4.532485,5.122921
8,0,0,0,4.799318,5.231546
8,0,0,0,4.838578,5.27329
8,0,0,0,4.560038,4.998944
8,0,0,0,4.549493,4.99268
8,0,0,0,4.522642,4.954346
8,0,0,0,4.908695,5.835129
8,0,0,0,4.863015,5.299529
8,0,0,0,4.871695,5.306402
8,0,0,0,5.189806,6.11651
8,0,0,0,4.625677,5.060934
16,0,0,0,4.672164,5.217465
16,0,0,0,4.622481,5.326821
16,0,0,0,4.648874,5.091027
16,0,0,0,4.597284,5.035186
16,0,0,0,4.371566,4.813634
16,0,0,0,4.659054,5.254368
16,0,0,0,4.422757,5.215009
16,0,0,0,4.260376,5.183401
16,0,0,0,4.248002,5.174463
16,0,0,0,4.100944,4.917086
16,0,0,0,4.778415,5.215291
16,0,0,0,4.795792,5.235475
16,0,0,0,4.78644,5.220602
16,0,0,0,4.880154,5.311405
16,0,0,0,4.844692,5.27951
32,0,0,0,4.77979,5.223382
32,0,0,0,4.769576,5.20387
32,0,0,0,4.792444,5.23578
32,0,0,0,4.774269,5.238462
32,0,0,0,4.758192,5.218542
32,0,0,0,4.656599,5.282328
32,0,0,0,4.257768,5.183307
32,0,0,0,4.240542,5.167005
32,0,0,0,4.20021,5.123158
32,0,0,0,4.390226,5.144493
32,0,0,0,4.810654,5.242801
32,0,0,0,4.826334,5.271338
32,0,0,0,4.794269,5.234778
32,0,0,0,4.808481,5.255443
32,0,0,0,4.831617,5.279417
